"pwsid","service_area","state","sizeCategory","owner_type"
"NJ1436003","Roxbury Township - Shore Hills","nj","Medium","Local"
"NJ1436004","Roxbury Township - Sky View","nj","Medium","Local"
"NJ1438004","Washington Township MUA - Schoo","nj","Medium","Local"
"NJ1439001","Wharton Borough","nj","Medium","Local"
"NJ1501001","Barnegat Light Borough","nj","Medium","Local"
"NJ1505002","Aqua NJ - Eastern Division","nj","Medium-Large","Private"
"NJ1506001","Brick Township MUA","nj","Large","Local"
"NJ1507005","Suez Water - Toms River","nj","Large","Private"
"NJ1510001","Island Heights Borough","nj","Small","Local"
"NJ1511001","Jackson Twp MUA","nj","Medium-Large","Local"
"NJ1512001","Lacey MUA","nj","Medium-Large","Local"
"NJ1513001","Lakehurst Borough","nj","Small","Local"
"NJ1514002","Lakewood Twp MUA","nj","Medium-Large","Local"
"NJ1515001","Lavallette Borough","nj","Medium-Large","Local"
"NJ1516001","Little Egg Harbor MUA","nj","Medium-Large","Local"
"NJ1517001","Long Beach Township - Brant Beach","nj","Medium-Large","Local"
"NJ1517002","Long Beach Twp - Holgat","nj","Small","Local"
"NJ1517003","Long Beach Twp - North Beach","nj","Small","Local"
"NJ1517006","Long Beach Twp - High Bar Harbor","nj","Small","Local"
"NJ1518005","Manchester Township - Eastern","nj","Medium-Large","Local"
"NJ1522001","Pine Beach Borough","nj","Small","Local"
"NJ1525001","Point Pleasant Beach Borough","nj","Medium-Large","Local"
"NJ1526001","Seaside Heights Borough","nj","Medium-Large","Local"
"NJ1527001","Seaside Park Borough","nj","Medium-Large","Local"
"NJ1528001","Ship Bottom Borough","nj","Medium-Large","Local"
"NJ1530004","Stafford Township - Beach Haven West","nj","Medium-Large","Local"
"NJ1531001","Surf City Borough","nj","Medium","Local"
"NJ1532002","Tuckerton Borough","nj","Medium","Local"
"NJ1533001","Barnegat Township","nj","Medium-Large","Local"
"NJ1601001","Bloomingdale Borough","nj","Medium","Local"
"NJ1605002","Passaic Valley Water Commission","nj","Large","Local"
"NJ1609001","Pompton Lakes MUA","nj","Medium-Large","Local"
"NJ1611002","Ringwood Borough","nj","Medium","Local"
"NJ1612001","Totowa Borough","nj","Medium-Large","Local"
"NJ1613002","Wanaque Borough","nj","Medium-Large","Local"
"NJ1614001","Wayne Township","nj","Medium-Large","Local"
"NJ1615002","Suez Water - Greenbrook Estates","nj","Small","Private"
"NJ1615012","Suez Water - Awosting","nj","Small","Private"
"NJ1615014","Suez Water - Crescent Park","nj","Small","Private"
"NJ1615016","Suez Water - Olde Milford","nj","Small","Private"
"NJ1615018","Suez Water - Eagle Village","nj","Small","Private"
"NJ1615020","Suez Water - West Milford","nj","Small","Private"
"NJ1616001","Woodland Park Borough","nj","Medium","Local"
"NJ1707001","NJ American Water - Penns Grove","nj","Medium-Large","Private"
"NJ1712001","Salem City","nj","Medium","Local"
"NJ1715001","Woodstown","nj","Medium","Local"
"NJ1817001","Rocky Hill Borough","nj","Small","Local"
"NJ1904002","Suez Water - East Brookwood","nj","Small","Other"
"NJ1906002","Franklin Borough","nj","Medium","Local"
"NJ1909001","Hamburg Borough","nj","Medium","Local"
"NJ1910003","Suez Water - Jersey Hampton","nj","Small","Private"
"NJ1912001","Hoptacong Borough","nj","Medium","Local"
"NJ1914002","Montague Water Co","nj","Small","Private"
"NJ1915001","Newton Town","nj","Medium","Local"
"NJ1918003","Sparta Township - Highlands","nj","Small","Local"
"NJ1918004","Sparta Township","nj","Medium-Large","Local"
"NJ1919001","Stanhope Borough","nj","Medium","Local"
"NJ1921001","Sussex Borough","nj","Small","Local"
"NJ1922008","Aqua NJ - Vernon","nj","Small","Private"
"NJ1922026","Suez Water- Vernon Valley","nj","Medium","Private"
"NJ2004001","NJ American Water - Liberty","nj","Large","Local"
"NJ2004002","NJ American Water - Raritan","nj","Very Large","Private"
"NJ2101001","Allamuchy Township","nj","Medium","Local"
"NJ2102001","Alpha Borough","nj","Small","Local"
"NJ2108001","Hackettstown MUA","nj","Medium-Large","Local"
"NJ2119001","Aqua NJ - Phillpsburg","nj","Medium-Large","Private"
"NM3500115","Los Alamos County","nm","Medium-Large","Local"
"NM3500132","New Mexico Water - Cypress Gardens","nm","Small","Private"
"NM3500326","Epcor Water - Edgewood","nm","Medium","Private"
"NM3500623","Vista de Oro de Placitas Water Users Coop","nm","Very Small","Private"
"NM3500826","Santa Fe County - South Sector","nm","Medium","Local"
"NM3502407","Lower Rio Grande PWWA","nm","Medium","Local"
"NM3502507","Camino Real RUA","nm","Medium-Large","Local"
"NM3503129","El Valle de Los Ranchos W&SD","nm","Small","Local"
"NM3505126","Santa Fe City","nm","Medium-Large","Local"
"NM3508317","Gallup City","nm","Medium-Large","Local"
"NM3508923","Bernalillo Town","nm","Medium","Local"
"NM3509623","Rio Rancho City","nm","Large","Local"
"NM3509824","Aztec City","nm","Medium","Local"
"NM3510124","Bloomfield City","nm","Medium","Local"
"NM3510224","Farmington City","nm","Medium-Large","Local"
"NM3510701","Albuquerque Bernalillo County WUA","nm","Very Large","Local"
"NM3511707","Las Cruces Utilities","nm","Large","Local"
"NM3513114","Ruidoso Village","nm","Medium-Large","Local"
"NM3513319","Alamogordo City","nm","Medium-Large","Local"
"NM3518025","Las Vegas City","nm","Medium-Large","Local"
"NM3520203","Roswell City","nm","Medium-Large","Local"
"NM3520308","Artesia City","nm","Medium-Large","Local"
"NM3520608","Carlsbad City","nm","Medium-Large","Local"
"NM3521513","Eunice City","nm","Small","Local"
"NM3521613","Hobbs City","nm","Medium-Large","Local"
"NM3521813","Lovington City","nm","Medium","Local"
"NM3522609","Silver City Town","nm","Medium-Large","Local"
"NM3523528","Magdalena Village","nm","Small","Local"
"NM3523728","Socorro City","nm","Medium","Local"
"NM3524330","Mountainair Town","nm","Small","Local"
"NM3524626","Entranosa Water & Wastewater Association","nm","Large","Private"
"NM3524932","Belen City","nm","Medium","Local"
"NM3525332","Los Lunas Village","nm","Medium-Large","Local"
"NM3526704","Raton City","nm","Medium","Local"
"NM3526811","Mosquero Village","nm","Very Small","Local"
"NM3527305","Epcor Water - Clovis","nm","Medium-Large","Private"
"NM3528020","Tucumcari City","nm","Medium","Local"
"NM3528222","Dora Village","nm","Very Small","Local"
"NM3528522","Portales City","nm","Medium-Large","Local"
"NM3528616","Deming City","nm","Medium-Large","Local"
"NM3530827","New Mexico Water - Elephant Butte","nm","Small","Private"
"NM3531804","Eagle Nest Village","nm","Very Small","Local"
"NM3531904","Angel Fire Village","nm","Medium","Private"
"NM3532032","New Mexico Water - Meadow Lake","nm","Small","Private"
"NM3537326","El Dorado Area W&SD","nm","Medium","Local"
"NM3554307","Dona Ana MDWCA","nm","Medium-Large","Local"
"NM3558514","Alto Lakes W&SD","nm","Small","Private"
"NM3560007","Mesilla Town","nm","Small","Local"
"NM3573627","Elephant Butte City","nm","Small","Local"
"NM3580232","New Mexico Water - Rio del Oro","nm","Small","Private"
"OR4100372","Hermiston City","or","Medium-Large","Local"
"OR4100483","Lincoln City","or","Medium-Large","Local"
"OR4100513","Medford Water Commission","or","Large","Local"
"OR4100566","Newport City","or","Medium-Large","Local"
"OR4100587","Ontario City","or","Medium-Large","Local"
"OR4100613","Pendleton City","or","Medium-Large","Local"
"OR4100657","Portland Water Bureau","or","Very Large","Local"
"OR4100731","Salem City","or","Large","Local"
"OR4100893","Tillamook City","or","Medium","Local"
"PA1090001","Aqua PA Bristol","pa","Medium-Large","Private"
"PA1090005","Aqua PA Chalfont","pa","Medium","Private"
"PA1090022","Falls Twp Water & Sewer Authority","pa","Medium-Large","Local"
"PA1090026","Lower Bucks County Joint Municipal Authority","pa","Medium-Large","Local"
"PA1090037","Morrisville Municipal Authority","pa","Medium-Large","Local"
"PA1090043","Newtown Artesian Water Company","pa","Medium-Large","Other"
"PA1090046","Perkasie Regional Authority","pa","Medium-Large","Local"
"PA1090057","Richlandtown Borough","pa","Small","Local"
"PA1090069","Warminster Municipal Authority","pa","Medium-Large","Local"
"PA1090070","Warrington Township Water and Sewer Authority","pa","Medium-Large","Local"
"PA1090074","Pennsylvania American Water Co-Yardley District","pa","Medium-Large","Private"
"PA1090078","Aqua PA Bensalem","pa","Medium-Large","Private"
"PA1090079","Bucks County Water and Sewer Authority - Main","pa","Medium-Large","Local"
"PA1090081","Doylestown Borough","pa","Medium","Local"
"PA1090082","Quakertown Borough","pa","Medium-Large","Local"
"PA1090089","Northampton Bucks County Municipal Authority","pa","Medium-Large","Local"
"PA1090107","Dublin Borough","pa","Small","Local"
"PA1090117","Hilltown Township Water and Sewer Authority","pa","Medium","Local"
"PA1090125","Milford Township Water Authority","pa","Medium","Local"
"PA1090127","Warwick Township Water and Sewer Authority","pa","Medium-Large","Local"
"PA1090128","Doylestown Township Municipal Authority","pa","Medium","Local"
"PA1090129","Bucks County Water and Sewer Authority - Solebury","pa","Small","Local"
"PA1090130","Bucks County Water and Sewer Authority - New Hope","pa","Small","Local"
"PA1090131","Richland Township Water Authority","pa","Medium","Local"
"PA1090160","Bucks County Water and Sewer Authority - Fox Run Preserve","pa","Very Small","Local"
"PA1150026","Downingtown Municipal Water Authority","pa","Medium","Local"
"PA1150035","Aqua PA Uwchlan","pa","Medium-Large","Private"
"PA1150066","Oxford Borough","pa","Medium","Local"
"PA1150077","Phoenixville Borough","pa","Medium-Large","Local"
"PA1150089","Aqua PA Spring Run","pa","Medium","Private"
"PA1150098","Aqua PA West Chester","pa","Medium-Large","Private"
"PA1150106","Pennsylvania American Water Co-Coatesville District","pa","Medium-Large","Private"
"PA1150108","Kennett Square Borough","pa","Medium","Local"
"PA1150109","Atglen Borough","pa","Small","Local"
"PA1150137","Aqua PA Friendship","pa","Medium","Private"
"PA1150166","Pennsylvania American Water Co-Royersford District","pa","Medium-Large","Private"
"PA1150185","Valley Township - Springs System","pa","Small","Private"
"PA1150197","Valley Township - Crossing System","pa","Small","Local"
"PA1150206","Pennsylvania American Water Co-Phoenixville District","pa","Small","Private"
"PA1230004","Chester Water Authority","pa","Large","Local"
"PA1230012","Suez Water Bethel","pa","Medium","Private"
"PA1460020","Ambler Borough","pa","Medium-Large","Local"
"PA1460022","Collegeville Trappe Joint Authority","pa","Medium","Local"
"PA1460028","Aqua PA Hatboro","pa","Medium-Large","Private"
"PA1460033","Horsham Water and Sewer Authority","pa","Medium-Large","Local"
"PA1460034","North Penn Water Authority","pa","Large","Local"
"PA1460037","Pottstown Borough Authority","pa","Medium-Large","Local"
"PA1460042","Schwenksville Borough Authority","pa","Medium","Local"
"PA1460046","Pennsylvania American Water Co-Norristown District","pa","Large","Private"
"PA1460048","North Wales Water Authority","pa","Medium-Large","Local"
"PA1460050","Telford Borough Authority","pa","Medium","Local"
"PA1460055","Audubon Water Company","pa","Medium","Private"
"PA1460069","Aqua Pa Perkiomen","pa","Medium","Private"
"PA1460073","Aqua PA Main Division","pa","Very Large","Private"
"PA1460085","Aqua PA Superior Main System","pa","Medium","Private"
"PA1510001","Philadelphia Water & Sewer Department","pa","Very Large","Local"
"PA2080028","Aqua PA Susquehanna","pa","Medium-Large","Private"
"PA2359008","Pennsylvania American Water Co- Scranton District","pa","Large","Private"
"PA2400048","Conyngham Sugarloaf Joint Municipal Authority","pa","Small","Local"
"PA2400066","Aqua PA Wapwallopen","pa","Very Small","Private"
"PA2400076","Suez Water Dallas","pa","Medium","Private"
"PA2400083","Aqua PA Applewood","pa","Very Small","Private"
"PA2400091","Suez Water Shavertown","pa","Small","Private"
"PA2400104","Aqua PA Midway","pa","Small","Private"
"PA2400128","Pennsylvania American Water Co-Sutton Hills","pa","Very Small","Private"
"PA2400149","Aqua PA Yalick Farms","pa","Very Small","Other"
"PA2408001","Hazelton City Authority","pa","Medium-Large","Local"
"PA2408011","Hazelton City Authority - TomHicken","pa","Very Small","Local"
"PA2409010","Pennsylvania American Water Co-Springbrook District","pa","Medium-Large","Private"
"PA2450023","East Stroudsburg Borough","pa","Medium-Large","Local"
"PA2450034","Brodhead Creek Regional Authority","pa","Medium-Large","Local"
"PA2450039","Aqua PA Mountain Homes","pa","Small","Private"
"PA2450044","Aqua PA Hamilton","pa","Small","Private"
"PA2450045","Pennsylvania American Water Co-Mountain Top Estates","pa","Very Small","Private"
"PA2450049","Manwalamink Water Company","pa","Small","Private"
"PA2450063","Pennsylvania American Water Co-Pocono District","pa","Medium-Large","Private"
"PA2450086","Aqua PA Pinecrest","pa","Very Small","Private"
"PA2450119","Pennsylvania American Water Co-Mid Monroe District","pa","Small","Private"
"PA2450122","Pocono Jackson Joint Water Authority","pa","Small","Local"
"PA2450133","Pennsylvania American Water Co-Blue Mountain Lake District","pa","Small","Private"
"PA2450141","Aqua PA Wild Pines","pa","Very Small","Private"
"PA2520033","Hemlock Farms Association - Main","pa","Medium","Private"
"PA2520034","Pennsylvania American Water Co-Hickory District","pa","Small","Private"
"PA2520035","Pennsylvania American Water Co-Silver Marcel District","pa","Small","Private"
"PA2520037","Aqua PA Fawn Lake Forest","pa","Medium","Private"
"PA2520050","Pennsylvania American Water Co-Pocono Mountain Lakes District","pa","Very Small","Private"
"PA2520051","Twin Lakes Water Company","pa","Very Small","Private"
"PA2520062","Pennsylvania American Water Co-Saw Creek District","pa","Medium","Private"
"PA2520096","Pennsylvania American Water Co-Pine Ridge District","pa","Small","Private"
"PA2590038","Mansfield Borough Municipal Authority","pa","Medium","Local"
"PA2590042","Wellsboro Municipal Authority","pa","Medium","Local"
"PA2640025","Roamingwood Sewer And Water Association","pa","Medium","Private"
"PA2660014","Tunkhannock Boro Municipal Authority","pa","Medium","Local"
"PA3060010","Birdsboro Municipal Authority","pa","Medium","Local"
"PA3060018","Aqua PA Flying Hills","pa","Medium","Private"
"PA3060035","Hamburg Borough Municipal Authority","pa","Medium","Local"
"PA3060038","Muhlenberg Township Municipal Authority","pa","Medium-Large","Local"
"PA3060041","Kutztown Borough","pa","Medium-Large","Local"
"PA3060059","Reading Area Water Authority","pa","Large","Local"
"PA3060069","Pennsylvania American Water Co-Penn District","pa","Medium-Large","Private"
"PA3060076","Wernersville Municipal Authority","pa","Medium","Local"
"PA3060078","West Reading Borough","pa","Medium","Local"
"PA3060081","Boyertown Municipal Authority","pa","Medium","Local"
"PA3060082","Mt. Penn Borough Municipal Authority","pa","Medium-Large","Local"
"PA3060083","Wysomissing Borough","pa","Medium","Local"
"PA3060088","Pennsylvania American Water Co-Glen Alsace District","pa","Medium-Large","Private"
"PA3060098","Ontelaunee Township Municipal Authority","pa","Small","Local"
"PA3061153","Aqua PA Easte Pointe","pa","Very Small","Private"
"PA3130004","Lansford Coaldale Joint Water Authority","pa","Medium","Local"
"PA3130021","Bowmanstown Borough","pa","Small","Local"
"PA3390024","Lehigh County Authority - Allentown Division","pa","Large","Local"
"PA3390032","Emmaus Borough","pa","Medium-Large","Local"
"PA3390035","Lehigh County Authority - Beverly Hills Division","pa","Very Small","Local"
"PA3390047","Lehigh County Authority - Heidleberg Heights Division","pa","Small","Local"
"PA3390055","Lehigh County Authority - North Whitehall Division","pa","Small","Local"
"PA3390062","Salisbury Township","pa","Medium","Local"
"PA3390065","South Whitehall Township Authority","pa","Medium-Large","Local"
"PA3390073","Lehigh County Authority - Central Division","pa","Medium-Large","Local"
"PA3390075","Lehigh County Authority - Emmaus Consecutive","pa","Small","Local"
"PA3390076","Lehigh County Authority - Upper Milford Central Division","pa","Very Small","Local"
"PA3390077","Upper Saucon Township","pa","Medium","Local"
"PA3390078","Lehigh County Authority - Washington Township","pa","Small","Local"
"PA3390080","Lehigh County Authority - Mill Creek Division","pa","Very Small","Local"
"PA3390081","Whitehall Township Authority","pa","Medium-Large","Local"
"PA3390085","Lehigh County Authority - Pine Lakes Division","pa","Very Small","Local"
"PA3390111","Lehigh County Authority - Upper Milford Division","pa","Very Small","Local"
"PA3390115","Lehigh County Authority - Madison North Division","pa","Very Small","Private"
"PA3480027","Lower Saucon Township","pa","Medium","Local"
"PA3480028","Lehigh County Authority - Clearview Farms Division","pa","Very Small","Local"
"PA3480038","Pennsylvania American Water Co-Bangor District","pa","Medium","Private"
"PA3480046","Bethlehem City Authority","pa","Large","Local"
"PA3480050","Easton Area Water System","pa","Large","Local"
"PA3480052","Hellertown Borough","pa","Medium","Local"
"PA3480055","Pennsylvania American Water Co-Blue Mountain Division","pa","Medium-Large","Private"
"PA3480057","Northampton Borough Municipal Authority","pa","Medium-Large","Local"
"PA3540011","Mahanoy Township Authority","pa","Medium","Local"
"PA3540017","Blythe Township Water Authority","pa","Medium","Local"
"PA3540032","Pennsylvania American Water Co Frackville Dist","pa","Medium","Private"
"PA3540035","Minersville Municipal Water Authority","pa","Medium","Local"
"PA3540038","Schuylkill County Municipal Authority","pa","Medium-Large","Local"
"PA3540041","Schuylkill Haven Boro","pa","Medium","Local"
"PA4050002","Bedford Boroough","pa","Medium","Local"
"PA4070011","Blair Township Water and Sewer Authority","pa","Small","Local"
"PA4070017","Hollidaysburg Municipal Authority","pa","Medium","Local"
"PA4070023","Altoona Water Authority","pa","Medium-Large","Local"
"PA4110009","Ebensburg Borough Municipal Authority","pa","Medium","Local"
"PA4110017","Highland Sewer and Water Authority","pa","Medium-Large","Local"
"PA4110021","Jackson Township Water Authority","pa","Small","Local"
"PA4110027","Portage Municipal Water Authority","pa","Medium","Local"
"PA4110034","Greater Johnstown Water Authority","pa","Medium-Large","Local"
"PA4110046","Lilly Borough Water Authority","pa","Small","Local"
"PA4140075","Bellefonte Borough Water Authority","pa","Medium","Local"
"PA4140082","College Township Water Authority","pa","Medium","Local"
"PA4140083","Milesburg Borough Water Authority","pa","Small","Local"
"PA4140087","Pennsylvania American Water Co-Philipsburg District","pa","Medium-Large","Private"
"PA4140096","State Collge Borough Water Authority","pa","Medium-Large","Local"
"PA4140118","Spring Township Water Authority","pa","Small","Local"
"PA4140120","Walker Township Water Association","pa","Small","Private"
"PA4180048","Lock Haven City Authority","pa","Medium","Local"
"PA4190008","Suez Water Bloomsburg","pa","Medium-Large","Private"
"PA4190013","Pennsylvania American Water Co-Berwick District","pa","Medium-Large","Private"
"PA4190016","Aqua PA Mifflin","pa","Small","Private"
"PA4190840","Suez Water Columbia County","pa","Very Small","Private"
"PA4310012","Huntingdon Borough","pa","Medium-Large","Local"
"PA4410156","Jersey Shore Area Joint Water Authority","pa","Medium","Local"
"PA4410173","Williamsport Municipal Water Authority","pa","Medium-Large","Local"
"PA4410175","Montoursville Water Company","pa","Medium","Local"
"PA4440010","Municipal Authority of Lewistown","pa","Medium-Large","Local"
"PA4470007","Danville Borough","pa","Medium","Local"
"PA4470010","Mahoning Township - Montour County","pa","Small","Local"
"PA4490007","Sunbury Municipal Authority","pa","Medium-Large","Local"
"PA4490016","Pennsylvania American Water Co-Turbotville","pa","Small","Private"
"PA4490023","Pennsylvania American Water Co-White Deer District","pa","Medium-Large","Private"
"PA4490024","Aqua PA Roaring Creek","pa","Medium-Large","Private"
"PA4490298","Pennsylvania American Water Co-Mcewensville","pa","Very Small","Private"
"PA4550005","Selinsgrove Borough","pa","Medium","Local"
"PA4560013","Winder Area Authority","pa","Medium","Local"
"PA4560042","Somerset Borough Municipal Authority","pa","Medium","Local"
"PA4560048","Conemaugh Township Municipal Authority","pa","Medium","Local"
"PA4600012","Mifflinburg Borough","pa","Medium","Local"
"PA4600015","West Buffalo Township","pa","Very Small","Local"
"PA5020010","CoraopolisWater & Sewer Authority","pa","Medium","Local"
"PA5020011","Moon Township Municipal Authority","pa","Medium-Large","Local"
"PA5020012","Duquesne Municipal Water Works","pa","Medium","Local"
"PA5020015","Edgeworth Water Authority","pa","Medium","Local"
"PA5020018","Richland Township Water Authority","pa","Medium-Large","Local"
"PA5020019","Hampton Shaler Water Authority","pa","Medium-Large","Local"
"PA5020027","Monroeville Municipal Authority","pa","Medium-Large","Local"
"PA5020034","Western Allegheny County Municipal Authority","pa","Medium-Large","Local"
"PA5020036","Oakmont Water Authority","pa","Medium-Large","Local"
"PA5020038","Pittsburgh Water & Sewer Authority","pa","Very Large","Local"
"PA5020039","Pennsylvania American Water Co- Pittsburgh District","pa","Very Large","Private"
"PA5020040","Fox Chapel Authority","pa","Medium-Large","Local"
"PA5020041","Plum Borough Municipal Authority","pa","Medium-Large","Local"
"PA5020043","West View Water Authority","pa","Large","Local"
"PA5020045","Robinson Township Municipal Authority","pa","Medium-Large","Local"
"PA5020050","Sewickley Boro Water Authority","pa","Medium","Local"
"PA5020056","Wilkinsburg-Penn Joint Water Authority","pa","Large","Local"
"PA5020078","Findlay Township Water and Sewer Authority","pa","Medium-Large","Local"
"PA5020108","Harrison Township Water Authority","pa","Medium-Large","Local"
"PA5030006","Manor Township Joint Municipal Authority","pa","Medium","Local"
"PA5030019","Buffalo Township Municipal Authority","pa","Medium","Local"
"PA5030043","Kittanning Suburban Joint Water Authority","pa","Medium","Local"
"PA5030045","West Kittanning Municipal Authority","pa","Small","Local"
"PA5040006","Aliquippa Water Authority","pa","Medium-Large","Local"
"PA5040007","Center Township Water Authority","pa","Medium-Large","Local"
"PA5040008","Ambridge Water Authority","pa","Medium-Large","Local"
"PA5040009","Beaver Borough Municipal Authority","pa","Medium","Local"
"PA5040012","Beaver Falls Municipal Authority","pa","Medium-Large","Local"
"PA5040017","Brighton Township Municipal Authority","pa","Medium","Local"
"PA5040022","Conway Borough","pa","Small","Local"
"PA5040039","Monaca Borough","pa","Medium","Local"
"PA5040063","Creswell Heights Joint Authority","pa","Medium-Large","Local"
"PA5100012","Pennsylvania American Water Co-Butler District","pa","Medium-Large","Private"
"PA5100033","Evans City Water and Sewer Authority","pa","Small","Local"
"PA5100079","Slippery Rock Municipal Authority","pa","Medium-Large","Local"
"PA5100093","Zelienople Borough","pa","Medium","Local"
"PA5100094","Cranberry Township","pa","Medium-Large","Local"
"PA5100135","Seven Fields Borough","pa","Small","Local"
"PA5100141","Adams Township Municipal Water Authority","pa","Medium","Local"
"PA5260004","Belle Vernon Boro Municipal Authority","pa","Medium","Local"
"PA5260005","Pennsylvania American Water Co-Brownsville","pa","Medium-Large","Private"
"PA5260007","Fairchance Borough","pa","Small","Local"
"PA5260009","Washington Township Municipal Authority","pa","Medium","Local"
"PA5260011","Indian Creek Valley Water Authority","pa","Medium","Local"
"PA5260019","North Fayette County Municipal Authority","pa","Medium-Large","Local"
"PA5260020","Pennsylvania American Water Co-Uniontown District","pa","Medium-Large","Private"
"PA5260022","Pennsylvania American Water Co-Connellsville District","pa","Medium-Large","Private"
"PA5300012","East Dunkard Water Association","pa","Medium","Local"
"PA5300017","Southwestern PA Water Authority","pa","Medium-Large","Local"
"PA5320007","Indiana County Municipal Services Authority - Cherry Tree System","pa","Very Small","Local"
"PA5320009","Clymer Borough","pa","Small","Local"
"PA5320025","Pennsylvania American Water Co-Indiana District","pa","Medium-Large","Private"
"PA5320034","Indiana County Municipal Services Authority - Rossiter System","pa","Very Small","Local"
"PA5320040","Central Indiana County Water Authority","pa","Medium","Local"
"PA5320041","Indiana County Municipal Services Authority - Arcadia System","pa","Very Small","Local"
"PA5320042","Indiana County Municipal Services Authority - Pine System","pa","Small","Local"
"PA5320046","Indiana County Municipal Services Authority - Lucerne System","pa","Small","Local"
"PA5320048","Indiana County Municipal Services Authority - Coy System","pa","Small","Local"
"PA5320109","Indiana County Municipal Services Authority - Crooked Creek System","pa","Medium","Local"
"PA5630030","Bentleyville Municipal Authority","pa","Small","Local"
"PA5630039","Charleroi Borough Authority","pa","Medium-Large","Local"
"PA5630044","Ellsworth Borough","pa","Small","Local"
"PA5630045","Tri County Joint Municipal Authority","pa","Medium-Large","Local"
"PA5650032","Westmoreland County Municipal Authority","pa","Large","Local"
"PA5650049","Derry Borough Municipal Authority","pa","Medium","Local"
"PA5650060","Latrobe Municipal Authority","pa","Medium-Large","Local"
"PA5650069","Highridge Water Authority","pa","Medium-Large","Local"
"PA5650070","New Kensington Municipal Authority","pa","Medium-Large","Local"
"PA5650080","Ligonier Township Municipal Authority","pa","Small","Local"
"PA6160001","Pennsylvania American Water Co-Clarion District","pa","Medium-Large","Private"
"PA6160013","St. Petersburg Water Company","pa","Very Small","Local"
"PA6160039","Lucinda Water Company","pa","Very Small","Private"
"PA6170008","Clearfield Municipal Authority","pa","Medium-Large","Local"
"PA6170016","Dubois Water Department","pa","Medium","Local"
"PA6170023","Houtzdale Municipal Authority","pa","Medium","Local"
"PA6170048","Aqua PA Treasure Lake","pa","Medium","Private"
"PA6170053","Sandy Township","pa","Small","Local"
"PA6200036","Meadville Area Water Authority","pa","Medium-Large","Local"
"PA6200051","Titusville City","pa","Medium","Local"
"PA6200072","Vernon Township Water Authority","pa","Small","Local"
"PA6240008","Fox Township - Toby Water","pa","Very Small","Local"
"PA6240016","St. Marys Area Water Authority","pa","Medium-Large","Local"
"PA6250012","Corry Municipal Authority","pa","Medium","Local"
"PA6250022","Edinboro Borough","pa","Medium","Local"
"PA6250028","Erie City Water Authority","pa","Large","Local"
"PA6330010","Pennsylvania American Water Punxsy","pa","Medium","Private"
"PA6370011","Pennsylvania American Water Co-Ellwood District","pa","Medium-Large","Private"
"PA6370034","Pennsylvania American Water Co-New Castle District","pa","Medium-Large","Private"
"PA6420014","Bradford City Water Authority","pa","Medium-Large","Local"
"PA6420019","Pennsylvania American Water Co Kane","pa","Medium","Private"
"PA6430037","Greenville Municipal Water Authority","pa","Medium","Local"
"PA6430054","Aqua PA Shenango Valley","pa","Medium-Large","Private"
"PA6430055","Sharpsville Borough","pa","Medium","Local"
"PA6610016","Clintonville Borough","pa","Small","Local"
"PA6610020","Franklin County General Authority","pa","Medium","Local"
"PA6610023","Oil City","pa","Medium-Large","Local"
"PA6620020","Pennsylvania American Water Co-Warren District","pa","Medium-Large","Private"
"PA6620021","Aqua PA Clarendon","pa","Small","Private"
"PA6620039","Youngsville Municipal Water Works","pa","Small","Local"
"PA7010019","Gettysburg Municipal Authority","pa","Medium-Large","Local"
"PA7010025","New Oxford Municipal Authority","pa","Medium","Local"
"PA7210002","Carlisle Borough Municipal Authority","pa","Medium-Large","Local"
"PA7210027","Suez Water - Grantham","pa","Medium","Private"
"PA7210028","Suez Water Mechanicsburg","pa","Medium-Large","Private"
"PA7210029","Pennsylvania American Water Co-Mechanicsburg District","pa","Large","Other"
"PA7210043","Shippensburg Borough Water Authority","pa","Medium-Large","Local"
"PA7210049","North Middleton Authority","pa","Medium","Local"
"PA7210050","South Middleton Township Municipal Authority","pa","Medium-Large","Local"
"PA7210054","Suez Water - Central Square","pa","Small","Private"
"PA7220015","Suez Water PA Harrisburg","pa","Large","Private"
"PA7220017","Pennsylvania American Water Co-Hershey District","pa","Medium-Large","Private"
"PA7220036","Pennsylvania American Water - Steelton Borough","pa","Medium","Private"
"PA7220038","Suez Water Middletown","pa","Medium","Private"
"PA7220049","Capital Region Water","pa","Medium-Large","Local"
"PA7280005","Chambersburg Borough Water System","pa","Medium-Large","Local"
"PA7280014","Green Castle Borough","pa","Medium","Local"
"PA7280026","Washington Township Municipal Authority","pa","Medium","Local"
"PA7280032","Waynesboro Municipal Authority","pa","Medium-Large","Local"
"PA7280038","Guilford Township Water Authority","pa","Medium-Large","Local"
"PA7280043","Bear Valley Joint Authority","pa","Medium-Large","Local"
"PA7280063","Antrim Township","pa","Small","Local"
"PA7360001","Adamstown Borough","pa","Small","Local"
"PA7360017","Denver Borough","pa","Medium","Local"
"PA7360045","Ephrata Area Joint Authority","pa","Medium-Large","Local"
"PA7360058","Lancaster City","pa","Large","Local"
"PA7360078","Manheim Area Water & Sewer Authority","pa","Medium","Local"
"PA7360091","Mount Joy Borough Authority","pa","Medium-Large","Local"
"PA7360112","Quarryville Borough","pa","Small","Local"
"PA7360113","East Cocalico Township Water and Sewer Authority","pa","Medium","Local"
"PA7360116","Warwick Township - Lititiz System","pa","Medium","Local"
