"pwsid","pop1990","pop2000","pop2010","cwsPop","under18","age18to34","age35to59","age60to64","over65","Asian","Black","Native","Other","White","Hispanic","d0to24k","d25to49k","d50to74k","d75to100k","d100to125k","d125to150k","d150kmore","built_2010later","built_2000to2009","built_1990to1999","built_1980to1989","built_1970to1979","built_1960to1969","built_1950to1959","built_1940to1949","built_1939early","keep"
"TX1050137",329,505,1730,2850,34.82,9.14,40.42,3.52,12.1,3.49,3.06,0.22,5.57,87.66,11.56,2.34,9.85,10.26,8.68,10.06,9.61,49.19,36.53,42.86,12.59,6.54,1.4,0,0,0,0.08,"keep"
"TX1050148",94,139,1613,3033,34.82,9.14,40.42,3.52,12.1,3.49,3.06,0.22,5.57,87.66,11.56,2.51,11.34,6.74,9.67,8.67,10.45,50.63,45.23,49.53,4.35,0.88,0,0,0,0,0,"keep"
"TX1070005",16229,17848,19544,20334,29.31,22.26,25.85,4.24,18.34,2.74,16.11,0.6,1.83,78.72,27.04,34.65,25.79,13.42,8.99,4.04,4.76,8.37,4.9,11.68,10.36,14.93,19.8,21.71,12.81,3.17,0.65,"keep"
"TX1070006",3345,4609,5285,5040,18.17,16.9,32.01,7.65,25.27,0.04,6.53,0.81,0.84,91.77,4.37,32.61,22.91,14.1,12.16,6.86,4.16,7.19,17.03,17.92,14.01,24.29,15.67,5.14,3.14,0.17,2.63,"keep"
"TX1070016",1322,1720,1913,1935,21.37,18,31.61,7.11,21.9,0,2.09,1.14,4.08,92.69,9.06,19.44,21.78,23.56,14.41,7.48,6,7.33,6.1,14.96,23.42,16.55,23.99,9.11,3.44,0.21,2.23,"keep"
"TX1070025",2029,2565,2881,3009,22.53,19.87,30.71,6.53,20.36,0.23,4.01,1.81,3.24,90.72,11.07,15.06,28.36,13.27,19.33,10.95,4.42,8.6,9.58,19.21,18.05,16.6,17.73,7,3.94,1.29,6.59,"keep"
"TX1070034",158,211,224,195,19.88,20.8,28.74,6.68,23.9,0.17,2.77,1.14,4.91,91.01,15.34,23.67,24.68,24.22,14.26,6.86,1.01,5.3,3.98,24.21,21.13,18.75,12.27,7.51,7.13,0.71,4.3,"too small"
"TX1070238",244,279,309,319,20.82,20.39,28.65,7.01,23.13,0.2,2.6,1.36,5.05,90.8,14.68,21.58,30,13.66,15.84,7.18,2.59,9.15,9.08,14.39,19.67,13.65,19.58,13.01,3.12,3.06,4.44,"keep"
"TX1070239",357,386,425,468,18.79,20.35,27.63,7.81,25.42,0.27,2.97,1.1,6.02,89.64,15.6,23.22,25.97,15.06,14.17,6.35,3.54,11.69,7.78,12.04,19.01,15.82,20.36,13.17,3.15,4.27,4.4,"keep"
"TX1070240",600,665,773,690,20.47,20.25,27.09,7.12,25.08,1.63,5.96,0.83,4.78,86.79,15.47,28.21,32.14,9.25,13.91,8.02,2.69,5.78,3.44,23.11,11.34,19.2,18.61,12.19,4.46,3.19,4.46,"keep"
"TX1070241",442,478,526,579,18.79,20.35,27.63,7.81,25.42,0.27,2.97,1.1,6.02,89.64,15.6,23.22,25.97,15.06,14.17,6.35,3.54,11.69,7.78,12.04,19.01,15.82,20.36,13.17,3.15,4.27,4.4,"keep"
"TX1070242",576,784,852,777,20.15,19.72,30.83,8.2,21.1,0.17,2.41,0.53,3.95,92.94,12.48,19.24,21.65,24.26,14.99,7.71,3.4,8.75,5.61,21.7,20.5,18.65,12.76,11.32,5.33,1.16,2.98,"keep"
"TX1070243",518,696,766,777,20.99,18.41,31.95,9.05,19.61,0.2,1.8,0.22,3.59,94.19,10.24,15.31,20.15,25.34,12.91,9.64,4.51,12.14,7.16,20.56,20.14,15.24,13.67,14.05,4.71,1.23,3.25,"keep"
"TX1070251",686,816,917,834,21.5,20.54,27.78,6.22,23.96,1.8,6.34,0.82,3.8,87.25,15.27,31.22,29.05,17.21,11.71,4.53,0.66,5.62,3.76,26.02,16.59,16.64,14.04,11.71,5.62,2.72,2.9,"keep"
"TX1080001",8374,14194,17887,18363,35,21.3,24.97,3.99,14.74,0.08,0.22,0.01,3.65,96.05,90.48,37.85,19.66,17.34,11.56,6.2,3.31,4.06,4.27,31.3,19.28,23.23,7.58,6.58,2.94,1.51,3.32,"keep"
"TX1080004",32769,49308,73303,85224,31.42,29.34,27.54,3.97,7.73,2.59,1.95,0.32,7.93,87.21,88.72,28.45,23.93,16.76,9,7.05,6.9,7.91,12.24,32.55,19.73,12.7,11.43,4.61,3.52,1.7,1.5,"keep"
"TX1080006",92405,116011,154163,173388,28.71,23.47,30.54,4.84,12.43,2.98,1.13,0.27,21.94,73.68,84.16,30.1,22.54,15.55,10.16,7.29,4.53,9.83,7.84,24.02,20.02,18.71,16.64,6.07,3.83,1.54,1.34,"keep"
"TX1080007",10266,12999,15157,15700,32.73,21.45,25.83,5.49,14.49,0,0.19,0.12,16.99,82.7,94.05,38.97,23.78,19.2,7.82,2.36,2.91,4.96,6.47,20.77,12.48,16.31,18.19,9.74,6.71,3.85,5.48,"keep"
"TX1080008",27739,44265,70765,77058,31.25,20.52,28.82,5,14.41,1.41,0.15,0.05,11.03,87.37,88.04,27.41,23.95,16.91,10.68,6.56,4.11,10.38,9.59,30.97,21.4,17.25,12.25,4.07,2.12,1.22,1.14,"keep"
"TX1080009",34530,46380,69576,77320,34.67,23.35,27.13,3.18,11.67,0.33,0.13,0.03,5.76,93.76,94.13,32.81,29.63,16.93,8.28,6.07,2.83,3.45,9.1,35.15,20.55,14.41,9,5.27,2.86,2.44,1.23,"keep"
"TX1080010",15156,21558,26847,30027,31.72,24.28,29.62,4.04,10.34,0.01,0.07,0.19,5.14,94.59,95.76,32.7,24.18,16.1,12.14,5.29,5.29,4.31,7.46,30.87,20.75,15.26,11.66,7.11,3.11,2.14,1.65,"keep"
"TX1080011",22719,26228,30636,32092,31.25,22.18,27.17,3.77,15.64,0.82,0.94,0.67,10.46,87.1,87.47,35.89,22.34,19.53,7.66,7.29,2.4,4.89,4.82,20.67,16.9,21.34,17.65,9.73,5.61,1.8,1.48,"keep"
"TX1080022",12448,28260,43238,46872,35.64,24.18,26.28,3.78,10.12,0.21,0.17,0.02,4.43,95.17,95.33,41.59,25.68,15.75,7.51,4.07,2.62,2.77,9.08,32.61,29.35,19.63,5.38,2.35,0.81,0.08,0.7,"keep"
"TX1080029",54264,87942,123336,138855,35.23,24.38,27.07,4.02,9.3,0.24,0.16,0.19,12.63,86.78,95.5,34.69,27.65,15.52,9.13,6.02,3.23,3.77,11.54,28.68,23.38,16.4,9.74,4.84,2.88,1.67,0.87,"keep"
"TX1080033",13429,29757,50379,57045,34.69,26.04,27.42,4.16,7.69,0.65,0.46,0.24,5.16,93.49,94.86,33.62,25.76,15.15,10.33,7.05,3.27,4.81,14.33,35.76,23.62,15.14,6.36,2.49,1.26,0.54,0.5,"keep"
"TX1090002",1259,1318,1236,1700,30.03,21.49,26.36,4.75,17.37,0.12,6.21,0.69,2.17,90.82,19.93,31.85,21.86,20.32,8.97,7.6,3.76,5.64,8.61,12.61,8.68,17.3,14.08,7.84,9.87,7.56,13.45,"keep"
"TX1090006",1466,1873,2095,2087,20.65,16.75,35.63,5.45,21.52,0.45,2.14,3.55,2.18,91.68,10.09,17.2,25.97,21.89,10.94,8.3,8.58,7.12,4.22,18.61,24.12,15.38,13.5,10.25,7.33,2.51,4.08,"keep"
"TX1090018",1651,1915,2078,2082,23.73,22.49,27.89,6.58,19.31,0.17,5.88,0.57,5.34,88.03,19.93,18.94,20.62,18.42,16.99,10.51,6.61,7.91,6.29,18.68,23.38,9.89,10.49,5.39,8.39,5.59,11.89,"keep"
"TX1100002",13808,12754,13287,13542,26.02,27.16,26.21,6.18,14.43,0.39,4.3,0.5,9.31,85.51,54.81,27.05,29.08,16.79,9.75,9.21,3.53,4.59,4.44,7.69,10.71,16.32,17.69,20.93,14.24,3.19,4.8,"keep"
"TX1100004",452,472,429,428,25.51,18.79,34.26,6.04,15.4,0.47,0.34,0.27,5.63,93.28,29.51,19.59,22.22,20.34,14.69,7.53,6.59,9.04,0.66,23.85,8.88,16.28,8.88,12.66,12.5,9.21,7.07,"too small"
"TX1110001",6294,8428,10368,11300,18.69,20.3,27.36,7.53,26.12,0.73,2.47,0.6,2.87,93.32,10.99,22.78,22.57,15.53,10.34,8.63,6.67,13.47,9.16,18.37,18.31,21.18,19.16,6.06,3.94,1.18,2.64,"keep"
"TX1110007",10279,15094,18372,21078,18.48,14.03,29.95,7.88,29.65,0.48,0.57,0.75,1.67,96.53,13.36,13.26,17.05,17.73,11.96,12.09,9.46,18.45,10.29,24.57,19.7,22.76,16.46,3.78,0.89,1.2,0.34,"keep"
"TX1110012",533,676,861,881,21.5,20.7,31.22,6.83,19.75,0,0.32,2.66,3.14,93.89,9.55,13.3,22.03,19.74,16.58,3.93,12.1,12.32,15.76,24.44,14.65,13.15,14.46,5.6,1.77,2.71,7.46,"too small"
