"pwsid","pop1990","pop2000","pop2010","cwsPop","under18","age18to34","age35to59","age60to64","over65","Asian","Black","Native","Other","White","Hispanic","d0to24k","d25to49k","d50to74k","d75to100k","d100to125k","d125to150k","d150kmore","built_2010later","built_2000to2009","built_1990to1999","built_1980to1989","built_1970to1979","built_1960to1969","built_1950to1959","built_1940to1949","built_1939early","keep"
"KS2011707",233,224,195,160,22.17,14.35,30.44,9.12,23.92,1.59,0.1,0,2.84,95.47,1.79,19.59,23.99,25,13.85,10.47,2.03,5.07,13.07,3.69,15.91,7.1,11.36,3.12,10.23,5.11,30.4,"too small"
"KS2011710",866,832,790,960,22.36,18.67,29.03,7.86,22.07,0.25,0.25,0.2,4.14,95.17,2.33,17.65,30.72,23.75,13.73,7.84,2.4,3.92,0.58,5.77,5.38,6.15,11.73,7.12,8.85,8.46,45.96,"too small"
"KS2011713",1591,1467,1326,1228,24,15.99,29.83,8.08,22.1,0.56,0.25,0.01,2.06,97.11,2.16,16.5,28.24,20.34,14.35,10.44,4.6,5.53,7.73,6.95,8.76,8.44,13.59,8.31,7.92,7.02,31.29,"keep"
"KS2011902",1625,1747,1773,1523,17.29,21.38,33.57,5.62,22.14,1.91,0.83,0,5.36,91.9,4.72,20,18.81,24.03,12.99,6.12,13.58,4.48,1.25,0.5,5.38,11.5,15,13.5,12.75,13.63,26.5,"too small"
"KS2012101",5417,6744,7967,8631,24.74,16.52,34.27,7.02,17.46,0.57,1.36,1.03,1.54,95.49,2.78,9.62,14.05,19.34,14.86,10.87,11.33,19.94,3.83,21.52,26.9,11.26,14.17,3.81,2.94,3.93,11.62,"keep"
"KS2012102",1475,1630,1617,1680,24.53,20.43,30.48,5.9,18.66,1.32,2.44,1.23,2.1,92.9,3.89,18.24,25.45,21.62,18.69,7.77,1.91,6.31,0.67,7.22,9.67,7.67,16.67,4.33,14.44,11.67,27.67,"keep"
"KS2012103",4773,5354,5646,5719,24.82,18.47,28.86,6.4,21.44,1.83,3.74,2.6,1.69,90.14,2.8,25.73,28.81,12.24,11.96,11.89,7.34,2.03,5.48,15.02,7.29,12.89,11.35,11.35,8.06,12.64,15.93,"keep"
"KS2012104",2159,2410,2450,2435,24.13,20.44,31.53,6.39,17.51,0.8,1.12,0.53,1.86,95.68,3.48,15.77,21.41,21.56,19.17,9.58,5.33,7.19,2.92,15.55,14.76,11.27,18.76,5.92,8.49,1.43,20.9,"keep"
"KS2012106",2597,3434,4823,4562,26.67,12.23,39.28,4.58,17.24,0.17,0.7,0.29,1.13,97.7,6.73,12.03,20.85,16.75,14.6,13.87,7.62,14.29,3.83,20.13,24.1,6.74,15.81,3.98,5.92,3.78,15.71,"keep"
"KS2012301",3712,3647,3404,3265,22.75,21.82,25.95,5.48,24,0,1.02,0,0.86,98.12,3.3,21.78,31.62,22.74,13.01,2.88,2.83,5.15,7.1,3.39,6.83,3.9,8.43,9.35,15.99,9.12,35.88,"keep"
"KS2012304",1881,1725,1486,1291,21.55,15.39,30.86,8.6,23.6,0.67,0.2,1.6,2.35,95.18,1.49,25.34,26.25,19.27,13.81,6.98,3.49,4.86,1.62,3.68,4,7.36,14.72,8.98,7.58,5.19,46.86,"keep"
"KS2012305",456,437,397,423,21.4,14.94,31.88,9.02,22.76,0.92,0,2.39,2.17,94.51,0.43,29.38,32.02,17.14,13.37,2.07,1.88,4.14,1.49,4.2,0.95,9.35,19.38,14.91,7.99,4.47,37.26,"too small"
"KS2012309",2622,2491,2175,2048,22.11,20.27,27.04,6.45,24.13,0.12,0.86,0.28,1.16,97.58,2.89,22.92,29.38,18.32,15.13,4.3,3.71,6.23,6.87,3.76,5.31,6.01,9.88,12.02,8.72,8.38,39.05,"keep"
"KS2012501",743,765,766,745,20.89,19.17,29.55,7.64,22.74,2.41,4.17,3.04,3.61,86.77,4.43,24.26,33.14,17.16,3.55,6.21,7.4,8.28,1.73,7.9,6.67,19.51,12.59,7.9,24.69,2.72,16.3,"keep"
"KS2012504",911,864,832,800,24.73,19.73,29.16,6.83,19.55,0.11,3.5,0.98,3.97,91.44,5.83,27.66,20.26,25.05,17.08,3.8,2.5,3.65,0.25,2.13,9.35,9.6,21.2,6.51,10.31,7.89,32.76,"keep"
"KS2012505",148,157,167,175,21.02,18.81,30.06,7.45,22.66,2.25,3.9,2.79,3.67,87.38,4.2,17.86,24.57,28.94,10.1,6.33,2.41,9.8,2.82,5.37,24.36,21.4,20.92,6.26,4.82,1.79,12.25,"keep"
"KS2012506",1077,1079,1111,1092,24.38,16.43,33.17,6.83,19.18,0.31,0.45,1.37,5.7,92.17,2.45,25.83,23.37,20.32,13.06,9.72,4.5,3.19,3.5,12.27,14.89,11.14,12.02,5.51,5.13,6.63,28.91,"keep"
"KS2012507",340,335,345,340,22.49,17.14,31.81,7.72,20.84,0.92,2.79,2.75,6.16,87.38,4.73,18.18,24.5,29.34,14.65,5.71,1.48,6.15,3.75,4.94,17.5,15.82,15.54,6.23,8.16,6.3,21.77,"keep"
"KS2012508",9373,9144,8962,8505,23.77,22.59,27.37,6.94,19.33,1.5,4.81,1.62,3.28,88.79,6.3,29.03,29.96,22.25,8.61,4.51,3.05,2.6,0.92,1.64,5.51,7.02,13.42,7.32,10.99,6.17,47,"keep"
"KS2012509",2660,2678,2695,2450,22.81,14.95,32.71,8.35,21.17,0.47,0.41,3.53,6.5,89.09,4.1,18.71,22.88,24.21,16.12,10.69,2.28,5.11,5.33,8.86,11.93,11.06,12.13,7.46,10.26,4.8,28.18,"keep"
"KS2012512",2302,2204,2170,2138,26.16,19.28,32.56,4.91,17.08,0.71,0.63,0.11,3.94,94.6,1.94,28.69,32.83,19.85,8.09,6.4,1.88,2.26,1.87,6.41,9.41,9.65,7.3,5.6,10.46,7.46,41.85,"keep"
"KS2012513",12784,11024,10419,9275,23.68,22.68,27.66,7.04,18.95,0.76,8.58,5.3,7.31,78.04,8.42,39.01,28.36,17.29,4.79,6.97,1.29,2.29,1.6,1.98,2.36,4.78,11.14,7.18,16.37,16.57,38.01,"keep"
"KS2012517",2236,2222,2367,1968,22.85,14.96,31.65,8.94,21.61,1.82,0.18,5.11,8.94,83.95,7.16,29.5,28.05,19.67,12.63,5.9,0.83,3.42,0.26,6.67,3.51,4.39,15.79,8.68,9.39,7.89,43.42,"too small"
"KS2012519",498,493,469,430,23.03,13.61,34.06,7.72,21.58,0,0.32,0.62,5.68,93.37,1.91,29.22,24.02,19.59,8.6,5.54,3.66,9.37,2.18,18.39,14.03,13.77,16.98,3.84,7.05,4.61,19.15,"keep"
"KS2012521",791,806,769,756,24.88,16.45,32.98,6.21,19.48,0.18,0.27,0.65,4.8,94.12,2.05,21.72,19.96,24.87,11.05,9.18,8.06,5.18,3.19,14,10.19,11.46,12.9,5.47,7.57,3.85,31.36,"keep"
"KS2012525",382,375,364,330,21.96,15.7,32.2,9.12,21.02,0.44,2.34,5.34,5.6,86.28,3.15,10.74,19.69,21.99,14.83,5.12,8.18,19.44,1.65,8.88,15.91,16.94,13.84,8.06,9.92,4.55,20.25,"keep"
"KS2012702",2117,2123,2041,2121,23.33,18.16,27.04,8.6,22.87,0.73,0.42,0,2.1,96.75,5.81,20.68,25.97,19.45,16.15,6.14,3.4,8.22,0.81,5.68,9.49,8.92,17.11,7.62,13.38,9.16,27.82,"keep"
"KS2012703",557,560,648,581,20.06,13.52,31.58,9.18,25.65,0.47,0,0.2,3.86,95.46,4.3,32.95,23.26,13.57,10.47,9.3,3.1,7.36,0,15.06,1.51,7.83,16.27,5.42,6.02,6.33,41.57,"too small"
"KS2012704",888,859,990,1091,22.2,17.74,29.56,8.24,22.26,0.86,1.62,0.19,4.17,93.16,6.36,18.14,24.13,19.38,15.74,9.1,4.64,8.87,2.64,9.29,7.52,11.21,14.31,6.79,11.57,8.2,28.47,"keep"
"KS2012901",2758,2740,2639,1819,25.42,20.37,27.31,5.92,20.99,0.62,0.8,0.18,6.5,91.9,23.38,20.58,36.1,16.28,8.91,4.76,6.91,6.45,0,4.77,5.21,13.77,19.31,16.05,15.4,9.98,15.51,"keep"
"KS2013102",1987,2073,1942,2075,26.68,19.9,24.49,8.2,20.73,0,1.01,0.53,1.63,96.83,2.32,23.8,22.22,14.63,14.54,8.06,8.43,8.33,2.6,9.73,9.31,10.57,20.55,15.1,9.65,4.19,18.29,"keep"
"KS2013105",357,372,360,350,26.26,18.63,27.06,7.63,20.41,0,0.82,0.8,1.65,96.73,2.57,19.02,23.07,13.2,16.05,12.49,6.42,9.75,4.14,14.17,14.48,10.03,13.34,7.03,5.07,4.03,27.71,"keep"
"KS2013106",625,639,611,525,27.58,17.61,29.06,8.57,17.18,0.52,0.39,0.44,1.44,97.2,0.52,15.18,21.01,28.79,14.79,11.67,1.95,6.61,0,5.08,10.79,9.52,23.49,7.62,8.89,6.67,27.94,"too small"
"KS2013110",3241,3214,2965,2800,26.46,19.01,25.9,8.3,20.33,0.22,0.85,0.53,1.71,96.69,2.04,19.14,21.98,19.36,15.12,10.36,6.12,7.91,3.56,11.4,9.84,10.79,17.8,8.88,7.27,4.52,25.95,"keep"
"KS2013112",495,513,502,448,26.16,16.23,30.51,8.55,18.56,0.43,0.46,5.34,3.39,90.38,2.75,16.13,20.4,16.89,19.33,11.26,7.76,8.22,2.49,10.62,12.58,8.65,10.48,7.99,9.96,4.59,32.63,"keep"
"KS2013301",233,215,220,200,22.71,18.48,32.64,6.82,19.34,0.11,0.49,0.38,2.59,96.44,6.18,17.23,26.08,22.22,9.75,11.56,4.31,8.84,0,11.88,5.56,9.77,18.58,6.32,18.97,3.83,25.1,"too small"
"KS2013303",746,715,693,625,23.41,16.63,33.27,6.38,20.31,0.29,0.58,0.28,2.81,96.04,5.94,13.03,23.77,29.82,12.41,6.47,6.15,8.34,6.42,11.5,6.24,5.26,18,5.17,12.66,7.58,27.18,"keep"
"KS2013305",345,345,335,314,26.07,18.68,28.31,7.49,19.46,0.48,1.64,0.77,4.45,92.65,8.41,23.29,22.37,24.2,10.5,6.85,4.57,8.22,2.82,10.89,13.31,3.63,7.66,14.52,8.47,4.44,34.27,"keep"
"KS2013307",9414,9370,9108,9042,25.82,19.29,30.39,5.82,18.68,0.05,1.88,0.34,3.45,94.29,6,30.56,30.99,22.37,9.17,2.19,2.06,2.66,0.56,2.65,1.76,6.12,9.56,5.53,12.99,10.68,50.15,"keep"
"KS2013309",339,340,325,323,22.71,18.48,32.64,6.82,19.34,0.11,0.49,0.38,2.59,96.44,6.18,15.58,31.41,26.38,10.8,9.05,3.27,3.52,6.27,9.35,8.76,8.76,13.03,12.14,4.58,7.36,29.75,"keep"
"KS2013314",1449,1403,1362,1210,23.07,18.06,32.27,6.81,19.78,0.09,0.45,0.34,2.46,96.66,5.49,17.4,24.58,25.55,11.13,7.37,3.95,10.03,4.05,7.99,9.94,6.79,14.59,4.55,9.84,9.74,32.52,"keep"
"KS2013315",140,140,122,128,24.04,18.64,29.18,8.55,19.58,0.08,0.49,0.49,4.99,93.96,5.63,21.71,25.23,26.91,9.33,8.26,2.6,5.96,4.4,12.23,22.66,4.95,6.18,14.97,7.01,2.75,24.86,"too small"
"KS2013317",2271,2298,2218,2095,23.1,19.13,29.65,7.82,20.29,0.31,4.12,0.48,5.02,90.08,5.78,20.98,22.07,24.96,15.22,6.05,3.52,7.2,3.21,15.3,19.43,12.14,13.89,9.32,3.98,4.23,18.5,"keep"
"KS2013320",817,794,791,670,24.03,18.27,31.85,6.68,19.17,0.08,0.8,0.37,2.96,95.78,7.75,20.08,23.75,26.11,10.53,4.99,4.43,10.11,3.63,10.16,5.79,4.26,10.78,6.75,10.33,7.6,40.69,"keep"
"KS2013321",516,506,474,437,24.31,20.68,29.82,5.95,19.25,0.12,1.83,0.38,2.89,94.77,1.38,39.35,18.56,18.8,12.45,2.12,5.6,3.11,4.85,8.33,3.69,13.71,20.78,22.26,10.13,2.64,13.61,"keep"
"KS2013702",2920,2850,2770,2722,19.41,22.46,29.53,8.1,20.51,0.5,2.77,0.97,3.34,92.42,5.2,18.19,29.2,15.17,16.88,10.11,7.26,3.18,0,2.59,7.41,5.32,20.19,8.48,19.43,5.13,31.46,"keep"
"KS2013703",78,69,60,50,19.41,22.46,29.53,8.1,20.51,0.5,2.77,0.97,3.34,92.42,5.2,35.97,19.62,26.16,6.27,2.72,7.36,1.91,0.77,0.31,1.23,11.96,4.75,2.3,10.74,10.89,57.06,"too small"
"KS2013901",998,1029,1014,1021,23.97,14.67,36.08,7.57,17.71,0.12,0,0,3.28,96.6,4.93,16.56,24.74,16.14,18.45,15.3,1.05,7.76,2.11,8.45,12.28,6.53,11.13,15.16,12.86,4.99,26.49,"too small"
"KS2013902",364,401,376,370,23.23,15.22,34.77,8.3,18.48,0.17,0.2,0.13,3.3,96.2,3.34,21.15,23.34,21.92,17.83,8.41,2.25,5.09,1.01,13.71,15.49,9.16,13.51,6.83,6.53,2.53,31.22,"keep"
"KS2013903",1192,1219,1349,1023,23.4,18.21,32.03,6.17,20.2,0.49,0.85,0.22,3.46,94.98,3.1,13.01,37.4,23.85,10.03,11.11,2.44,2.17,3.66,5.38,17.42,6.45,22.37,11.18,1.29,1.29,30.97,"too small"
"KS2013904",2960,3303,3264,3186,23.05,17.39,32.53,7.24,19.79,0.4,1.22,0.23,3.31,94.84,3.07,13.88,23.89,20.54,18.67,11.49,4.16,7.37,2.94,14.09,16.65,13.2,20.99,7.32,4.98,2.34,17.5,"keep"
"KS2013905",368,406,387,374,21.68,16.37,32.03,9.84,20.08,0.26,0.62,0.41,3.35,95.37,0,25.63,16.9,16.9,20.85,9.01,5.63,5.07,0.23,10.44,19.72,5.34,17.63,4.18,7.66,1.16,33.64,"too small"
"KS2013906",1395,1496,1460,1430,24.11,16.62,31.02,8.02,20.23,0.21,0.82,0.21,2.42,96.35,3.67,24.28,25.55,20.19,13.63,7.75,1.96,6.64,0.98,10.01,12.11,6.77,14.97,10.46,7.9,5.04,31.75,"keep"
"KS2013910",717,858,860,900,23.97,14.67,36.08,7.57,17.71,0.12,0,0,3.28,96.6,4.93,17.24,24.16,19.33,15.04,14.8,4.71,4.71,1.66,18.05,16.34,10.22,16.08,8.77,5.34,1.45,22.1,"keep"
"KS2013911",832,853,839,682,21.44,18.81,33.07,7.93,18.74,0,0.28,0.07,4.05,95.59,2.35,17.87,21.94,17.55,15.99,8.46,15.99,2.19,0.84,6.69,8.64,10.86,25.91,17.27,6.41,6.13,17.27,"too small"
"KS2013912",186,223,230,220,24.8,15.91,36.11,5.96,17.22,0.17,0.17,0.4,3.55,95.71,3.68,11.76,21.31,20.16,18.12,17.22,6.61,4.82,1.01,23.59,13.82,15.63,20.04,4.85,1.59,3.04,16.43,"too small"
"KS2013914",1422,1398,1319,1369,23.4,18.21,32.03,6.17,20.2,0.49,0.85,0.22,3.46,94.98,3.1,23.91,24.38,22.19,15.94,8.59,1.72,3.28,2.05,2.6,11.51,18.77,28.77,8.63,10,2.6,15.07,"keep"
"KS2013917",481,518,499,500,22.35,16.74,32.48,8.93,19.5,0.16,0.31,0.37,3.07,96.09,1.87,19.9,20.75,20.45,17.6,9.88,3.79,7.63,3.46,10.95,13.34,11.89,12.22,4.69,5.07,5.59,32.79,"keep"
"KS2013918",2041,2319,2272,2240,22.83,15.72,34.6,8.6,18.25,1.14,0.41,0.1,3.09,95.27,2.25,14.07,18.68,20.56,14.42,9.76,9.02,13.48,1.68,14.12,16.03,10.85,19.62,10.31,5.27,4,18.12,"keep"
"KS2014101",1172,1110,959,814,21.1,18.5,28.87,7.11,24.42,0.08,0.48,0.4,2.86,96.18,2.15,25.86,17.62,22.43,12.13,11.21,2.06,8.7,0,3.63,4.54,4.54,6.9,19.6,10.89,10.71,39.2,"too small"
"KS2014103",116,106,90,81,20.94,16.93,29.93,6.92,25.28,0.25,0.41,0.51,2.72,96.11,2.11,25.47,20.98,16.81,15.07,11.52,3.11,7.04,0.47,2.08,6.21,5.31,10.71,8.8,8.93,9.57,47.92,"keep"
"KS2014105",1464,1336,1176,1272,21.1,18.5,28.87,7.11,24.42,0.08,0.48,0.4,2.86,96.18,2.15,30.28,21.13,13.62,14.44,10.68,2.7,7.16,0,2.71,6.36,1.4,12.24,7.2,14.58,14.39,41.12,"too small"
"KS2014107",76,69,64,55,23.18,18.66,29.26,7.23,21.68,0.14,0.65,0.19,2.33,96.7,1.98,18.78,27.91,16.6,13.56,9.19,4.1,9.85,1.55,7.27,3.94,8.07,6.33,12.66,11.59,10.51,38.09,"keep"
"KS2014303",437,543,626,612,22.33,14.68,37.1,6.58,19.31,2.05,0,0.39,1.8,95.76,1.32,18.68,18.34,24.96,15.45,7.13,3.74,11.71,1.23,14.92,12,6.15,7.85,15.08,7.54,2.92,32.31,"too small"
"KS2014304",272,267,228,198,22.93,15.92,31.47,7.92,21.75,0,0.91,0.37,1.56,97.17,3.42,14.63,35.14,22.02,9.95,8.6,7.09,2.56,0,1.15,7.82,4.59,8.86,1.77,5.01,4.9,65.9,"too small"
"KS2014307",1367,1598,1753,1794,21.56,15.48,34.16,8.16,20.64,1.56,1.85,0.46,2.59,93.55,3.68,15.14,19.06,18.86,14.78,8.87,6.17,17.13,4.52,13.38,17.35,11.14,12.97,9.27,7.12,3.11,21.14,"keep"
"KS2014505",3952,3833,3847,3671,18.16,20.22,30.07,10.66,20.89,0,6.03,1.23,5.31,87.42,8.37,14.65,39.23,20.82,14.09,4.52,1.54,5.14,0.34,11.14,2.98,8.15,10.51,7.31,18.62,10.47,30.47,"keep"
"KS2014706",2802,2528,2462,2445,22.47,19.42,30.32,6.6,21.19,0.35,1.06,0.18,1.99,96.41,5.08,26.21,24.88,23.46,9.4,7.57,2.66,5.82,5.05,2.49,2.29,7.41,21.55,15.15,25.12,3.57,17.37,"keep"
"KS2014709",534,486,457,432,22.48,19.04,29.8,7.01,21.67,0.43,0.99,0.25,1.9,96.42,4.6,23.88,25.84,22.91,10.54,7.96,3.28,5.59,4.32,2.57,3.72,6.73,19.76,13.63,20.96,4.38,23.92,"keep"
"KS2014904",1347,1388,1401,1300,21.2,16.34,32.35,8.31,21.79,0.17,0.53,1.6,2.2,95.51,2.44,20.27,20.04,21.27,17.04,9.58,6.46,5.35,3.51,10.15,10.52,7.84,11.81,4.43,6.37,5.72,39.67,"keep"
"KS2014906",572,609,648,625,24.85,17.77,33.17,6.43,17.77,0.43,0.84,0.72,3.04,94.97,4.33,17.45,26.67,19.4,14.44,7.49,6.43,8.12,2.43,15.72,18.8,10.07,12.92,6.86,2.85,2.94,27.43,"keep"
"KS2014912",5414,6011,7040,7874,30.32,20.16,33.02,4.54,11.96,1.06,1.65,0.75,3.07,93.46,5.58,14.46,15.12,20.57,17.19,12.27,6.71,13.68,17.52,19.69,13.57,12.34,19.1,5.44,4.76,1.79,5.78,"keep"
"KS2014914",1843,2140,2704,2781,36.81,23.28,22.79,4.64,12.48,0.55,0.75,0.72,3.98,93.99,7.58,12.71,25.85,25,14,12.07,1.71,8.65,2.7,13.7,14.2,11.3,14.1,5.9,11.3,1.7,25.1,"too small"
"KS2014917",587,704,889,998,32.11,20.18,32.87,4.02,10.82,0.99,1.29,0.39,4.28,93.05,6.56,13.73,18.49,21.65,14.26,12.59,2.9,16.37,25.2,23.75,11.27,13.53,14.57,1.61,3.3,3.3,3.46,"too small"
"KS2014922",816,921,1051,1125,33.48,21.3,25.71,5.23,14.27,0.48,0.69,1.66,3.68,93.49,6.71,13.39,22.58,20.03,18.88,11.14,6.7,7.27,4.15,12.38,13.21,12.18,12.49,4.77,7.67,2.59,30.57,"keep"
"KS2015103",6452,6524,6625,6526,25.56,22.46,25.98,7.6,18.4,0.16,3.33,1.02,1.83,93.66,8.77,17.93,29.8,29.97,9.14,6.23,3.5,3.42,0.36,1.94,2.01,7.26,3.59,10.85,12.93,29.31,31.75,"keep"
"KS2015301",1466,1362,1259,1217,20.5,15.51,30.3,6.83,26.86,0.12,0.64,0.84,6,92.41,7.19,28.38,20.63,19.97,11.55,8.09,5.45,5.94,1.19,4.76,4.46,4.02,14.88,19.64,19.64,7.59,23.81,"too small"
"KS2015505",1187,1223,1130,998,23.65,20.98,33.83,5.59,15.95,0,1.3,0,1.99,96.71,2.67,21.32,26.66,22.94,17.77,5.33,4.52,1.45,0.55,2.6,6.56,2.73,14.62,6.28,19.67,9.43,37.57,"too small"
"KS2015508",201,230,242,260,17.8,20.63,21.49,9.07,31.02,0.2,4.26,0,2.63,92.9,2.92,8.62,16.16,39.14,7.9,5.21,8.8,14.18,3.7,11.62,24.07,11.28,25.59,6.06,5.22,2.02,10.44,"too small"
"KS2015509",39791,41421,41569,40383,22.17,22.01,32.77,5.52,17.53,0.58,4.72,1.68,4.81,88.22,14.01,24.9,30.97,17.06,12.4,7.65,3.4,3.62,1.65,4.2,5.14,6.65,14,12.84,19.21,8.92,27.37,"keep"
"KS2015510",143,158,159,150,19.64,14.85,31.82,12.38,21.32,1.26,3.43,0.18,2.92,92.21,4.86,9.61,14.54,20.73,24.53,8.47,5.18,16.94,7.22,14.68,13,6.86,28.76,10.95,4.21,2.29,12.03,"too small"
"KS2015516",440,448,459,450,26.21,20.11,29.2,7.76,16.72,0.2,0.55,3.48,2.21,93.55,1.29,15.97,22.57,9.2,13.37,7.64,18.75,12.5,5.56,6.91,13.36,7.96,13.66,1.95,4.2,8.41,37.99,"too small"
"KS2015517",609,681,638,635,21.85,15.96,31.63,10.69,19.87,0.77,2.09,1.05,2.9,93.18,3.97,22.43,13.68,17.79,17.03,10.57,4.52,13.98,2.06,11.71,8.73,17.83,25.04,6.4,11.22,3.79,13.22,"keep"
"KS2015518",196,200,204,200,26.21,20.11,29.2,7.76,16.72,0.2,0.55,3.48,2.21,93.55,1.29,15.97,22.57,9.2,13.37,7.64,18.75,12.5,5.56,6.91,13.36,7.96,13.66,1.95,4.2,8.41,37.99,"too small"
"KS2015702",571,523,426,396,20.37,15.9,27.79,9.61,26.34,0.08,0.23,0.4,1.72,97.56,1.68,25.41,28.31,19.32,13.45,6.09,3.04,4.39,0.96,3.78,6.15,7.67,10.64,9.03,5.55,6.86,49.37,"keep"
"KS2015711",1872,1690,1418,1293,20.88,14.14,27.8,8.75,28.43,0.31,1.57,0.18,1.06,96.88,2.49,23.14,29.51,21.16,13.32,5.35,3.82,3.7,4.33,1.85,4.53,4.96,8.37,9.1,10.27,11.48,45.11,"keep"
"KS2015903",3675,3726,3630,3504,22.39,22.87,26.18,7.02,21.54,0.48,1.8,0.21,8.32,89.19,18.81,21.5,25.87,18.26,16.55,10.72,4.5,2.6,1.78,0,5.03,0.87,12.49,16.66,20.44,21.04,21.69,"keep"
"KS2015908",970,985,958,900,22.95,19.29,29.72,7.72,20.32,0.44,1.18,0.59,4.32,93.47,9.1,19.35,27.81,14.82,17.67,6.78,5.11,8.46,3.78,4.37,10.08,4.82,15.12,7.78,10.9,12.31,30.84,"keep"
"KS2016112",43530,45016,51871,54604,16.04,50.6,20.36,3.71,9.29,5.48,5.79,0.42,6.63,81.67,8.32,28.97,23.44,17.69,9.75,7.58,3.88,8.69,7.78,12.46,12.51,11.41,19.16,10.4,11.98,4.23,10.08,"keep"
"KS2016124",568,600,643,952,22.41,16.59,35.19,6.33,19.47,2.15,0.31,0.19,0.95,96.4,2.17,9.99,22.3,23.53,11.49,7.52,6.29,18.88,7.59,12.01,10.11,9.61,9.48,5.56,12.52,3.29,29.84,"too small"
"KS2016128",2185,2409,2662,1958,16.42,29.91,33.33,5.68,14.66,3.89,4.42,1.07,6.31,84.31,4.68,23.28,31.68,26.08,8.02,3.82,5.22,1.91,16.32,13.09,23.62,7.21,10.25,8.25,11.67,2.66,6.93,"keep"
"KS2016135",713,861,1152,1442,23.06,23.75,31.57,5.88,15.75,3.84,2.84,0.41,2.34,90.56,4.56,12.62,16.86,18.36,14.49,14.18,8.31,15.18,19.96,14.6,16.82,12.6,14.22,9.03,5.52,2.33,4.92,"keep"
"KS2016301",1985,1869,1787,1804,23.01,19.21,31.12,5.66,21,0.14,1.93,0,1.14,96.79,2.21,18.05,25.91,23.09,13.95,6.45,5.04,7.5,2.09,4.98,2.99,15.22,12.24,7.86,31.54,7.26,15.82,"too small"
"KS2016303",91,77,68,55,20.9,16.36,32.21,6.9,23.63,0,1.53,0.56,2.55,95.37,2.92,12.23,36.69,20.5,9.35,11.15,8.27,1.8,3.21,10.32,2.75,4.13,16.06,2.06,7.11,18.35,36.01,"too small"
"KS2016304",1272,1257,1072,1257,20.9,16.36,32.21,6.9,23.63,0,1.53,0.56,2.55,95.37,2.92,26.88,27.78,21.17,14.26,4.05,3.6,2.25,2.88,1.44,4.58,4.18,16.86,11.37,18.82,9.8,30.07,"keep"
"KS2016306",61,58,53,40,23.01,19.21,31.12,5.66,21,0.14,1.93,0,1.14,96.79,2.21,19.79,39.31,17.94,9.5,5.28,3.69,4.49,0.74,2.59,2.59,8.33,5.37,5.74,25,14.63,35,"too small"
"KS2016308",558,497,448,380,22.68,18.74,31.26,5.88,21.45,0.14,1.91,0.1,1.42,96.43,2.37,17.55,30.09,21.32,12.38,6.97,5.41,6.27,2.01,5.47,3.1,11.56,11.31,6.51,25.43,10.95,23.66,"keep"
"KS2016703",4719,4609,4436,4463,20.07,15.93,34.06,6.8,23.14,0,3.41,1.18,2.33,93.07,4.38,28.19,32.62,14.65,11.41,4.17,7.33,1.62,0,0,1.72,11.47,9.2,13.53,14.49,8.45,41.14,"keep"
"KS2016704",1710,1574,1427,1300,21.01,17.27,28.74,10.04,22.94,0.09,0.47,0.25,2.06,97.12,3.34,20.62,24.7,20.14,12.47,10.55,5.76,5.76,3.37,3.9,3.19,6.21,8.87,10.28,11.35,8.33,44.5,"keep"
"KS2016705",117,110,109,90,20.83,16.62,31.13,7.86,23.56,0,2.3,0.89,2.29,94.52,3.41,22.29,30.31,16.79,19.32,3.71,2.08,5.5,0.47,2.57,3.15,6.18,10.62,16.45,15.64,14.59,30.34,"too small"
"KS2016707",57,54,54,44,20.83,16.62,31.13,7.86,23.56,0,2.3,0.89,2.29,94.52,3.41,22.29,30.31,16.79,19.32,3.71,2.08,5.5,0.47,2.57,3.15,6.18,10.62,16.45,15.64,14.59,30.34,"too small"
"KS2016901",90,99,100,80,27.15,14.02,32.7,7.42,18.71,0.24,0.35,0.59,3.32,95.5,3.73,11.02,27.35,24.9,22.86,2.45,10.61,0.82,1.39,1.05,33.8,12.54,8.36,1.74,3.83,5.57,31.71,"too small"
"KS2016902",293,387,374,408,27.15,14.02,32.7,7.42,18.71,0.24,0.35,0.59,3.32,95.5,3.73,8.5,22.87,15.54,23.75,5.28,3.23,20.82,2.25,3,17,9.25,9.5,11.75,3.75,6.25,37.25,"too small"
"KS2016911",306,384,438,465,21.73,12.54,33.33,7.9,24.5,2.56,2.33,0.22,1.33,93.56,3.97,9.31,15.86,15.19,17.34,8.96,7.56,25.79,7.41,13.45,26.39,15.01,14.97,4.97,9.86,1.3,6.63,"keep"
"KS2016912",646,755,761,843,25.2,17.78,32.17,7.36,17.49,1.31,1.5,0.48,3.96,92.76,5.86,9.97,25.09,23.68,16.04,8.31,6.73,10.18,2.4,7.8,16.95,10.09,13.89,14.51,16.02,2.37,15.98,"keep"
"KS2016913",697,799,770,768,20.96,16.52,34.12,8.88,19.52,0.37,1.78,0.59,1.58,95.68,3.72,10.35,24.93,20.88,18,11.61,5.49,8.73,2.08,11.47,16.47,15.09,12.86,6.93,3.7,4.7,26.71,"keep"
"KS2016914",42032,45269,47202,46550,22.81,21.36,31.65,6.46,17.71,2.48,2.92,0.44,6.33,87.82,11.23,23.6,27.93,20.31,11.91,8.17,3.66,4.42,2.68,4.76,8.6,9.36,14.23,12.75,21.25,8.69,17.68,"keep"
