"pwsid","hh_use","HBI","PPI","TRAD","burden","LaborHrs"
"CA3010053",8000,1.54,20.04,0.68,"Low-Moderate",3.86
"CA3010053",9000,1.62,20.04,0.72,"Low-Moderate",4.08
"CA3010062",0,0.9,34.81,0.39,"Low-Moderate",1.66
"CA3010062",1000,1.13,34.81,0.49,"Low-Moderate",2.07
"CA3010062",10000,3.02,34.81,1.31,"Low-Moderate",5.54
"CA3010062",11000,3.19,34.81,1.39,"Low-Moderate",5.85
"CA3010062",12000,3.36,34.81,1.46,"Low-Moderate",6.17
"CA3010062",13000,3.58,34.81,1.56,"Low-Moderate",6.57
"CA3010062",14000,3.82,34.81,1.66,"Low-Moderate",7.01
"CA3010062",15000,4.07,34.81,1.77,"Low-Moderate",7.46
"CA3010062",16000,4.31,34.81,1.87,"Low-Moderate",7.9
"CA3010062",2000,1.35,34.81,0.59,"Low-Moderate",2.48
"CA3010062",3000,1.58,34.81,0.68,"Low-Moderate",2.89
"CA3010062",4000,1.8,34.81,0.78,"Low-Moderate",3.3
"CA3010062",5000,2.03,34.81,0.88,"Low-Moderate",3.71
"CA3010062",6000,2.25,34.81,0.98,"Low-Moderate",4.13
"CA3010062",7000,2.47,34.81,1.08,"Low-Moderate",4.54
"CA3010062",8000,2.67,34.81,1.16,"Low-Moderate",4.9
"CA3010062",9000,2.85,34.81,1.24,"Low-Moderate",5.22
"CA3010064",0,2.36,37.56,0.93,"Moderate-High",3.37
"CA3010064",1000,2.58,37.56,1.02,"Moderate-High",3.69
"CA3010064",10000,4.63,37.56,1.84,"High",6.62
"CA3010064",11000,4.86,37.56,1.93,"High",6.94
"CA3010064",12000,5.09,37.56,2.02,"High",7.27
"CA3010064",13000,5.31,37.56,2.1,"High",7.59
"CA3010064",14000,5.54,37.56,2.2,"High",7.92
"CA3010064",15000,5.77,37.56,2.29,"High",8.24
"CA3010064",16000,6,37.56,2.38,"High",8.57
"CA3010064",2000,2.81,37.56,1.11,"Moderate-High",4.02
"CA3010064",3000,3.04,37.56,1.2,"Moderate-High",4.34
"CA3010064",4000,3.27,37.56,1.29,"Moderate-High",4.67
"CA3010064",5000,3.49,37.56,1.38,"Moderate-High",4.99
"CA3010064",6000,3.72,37.56,1.48,"Moderate-High",5.32
"CA3010064",7000,3.95,37.56,1.56,"Moderate-High",5.64
"CA3010064",8000,4.18,37.56,1.65,"Moderate-High",5.97
"CA3010064",9000,4.41,37.56,1.74,"Moderate-High",6.29
"CA3010069",0,0.54,21.35,0.22,"Low-Moderate",1.25
"CA3010069",1000,0.71,21.35,0.29,"Low-Moderate",1.65
"CA3010069",10000,2.26,21.35,0.91,"Low-Moderate",5.26
"CA3010069",11000,2.44,21.35,0.98,"Low-Moderate",5.66
"CA3010069",12000,2.61,21.35,1.05,"Low-Moderate",6.06
"CA3010069",13000,2.78,21.35,1.12,"Low-Moderate",6.46
"CA3010069",14000,2.95,21.35,1.19,"Low-Moderate",6.86
"CA3010069",15000,3.13,21.35,1.26,"Low-Moderate",7.26
"CA3010069",16000,3.3,21.35,1.33,"Low-Moderate",7.66
"CA3010069",2000,0.88,21.35,0.36,"Low-Moderate",2.05
"CA3010069",3000,1.05,21.35,0.43,"Low-Moderate",2.45
"CA3010069",4000,1.23,21.35,0.5,"Low-Moderate",2.85
"CA3010069",5000,1.4,21.35,0.56,"Low-Moderate",3.25
"CA3010069",6000,1.57,21.35,0.63,"Low-Moderate",3.65
"CA3010069",7000,1.75,21.35,0.7,"Low-Moderate",4.05
"CA3010069",8000,1.92,21.35,0.77,"Low-Moderate",4.45
"CA3010069",9000,2.09,21.35,0.84,"Low-Moderate",4.86
"CA3010073",0,1.91,15.03,0.85,"Low",5.93
"CA3010073",1000,1.98,15.03,0.88,"Low",6.13
"CA3010073",10000,2.64,15.03,1.18,"Low",8.19
"CA3010073",11000,2.76,15.03,1.23,"Low",8.55
"CA3010073",12000,2.88,15.03,1.28,"Low",8.91
"CA3010073",13000,2.99,15.03,1.33,"Low",9.27
"CA3010073",14000,3.11,15.03,1.38,"Low",9.63
"CA3010073",15000,3.22,15.03,1.44,"Low",9.99
"CA3010073",16000,3.34,15.03,1.49,"Low",10.35
"CA3010073",2000,2.04,15.03,0.91,"Low",6.33
"CA3010073",3000,2.11,15.03,0.94,"Low",6.53
"CA3010073",4000,2.17,15.03,0.97,"Low",6.73
"CA3010073",5000,2.24,15.03,1,"Low",6.93
"CA3010073",6000,2.3,15.03,1.03,"Low",7.13
"CA3010073",7000,2.38,15.03,1.06,"Low",7.36
"CA3010073",8000,2.45,15.03,1.09,"Low",7.6
"CA3010073",9000,2.53,15.03,1.13,"Low",7.83
"CA3010079",0,1.95,22.58,0.83,"Low-Moderate",3.61
"CA3010079",1000,2.1,22.58,0.89,"Low-Moderate",3.89
"CA3010079",10000,3.42,22.58,1.45,"Low-Moderate",6.34
"CA3010079",11000,3.57,22.58,1.52,"Low-Moderate",6.61
"CA3010079",12000,3.71,22.58,1.58,"Low-Moderate",6.88
"CA3010079",13000,3.86,22.58,1.64,"Low-Moderate",7.16
"CA3010079",14000,4.01,22.58,1.7,"Low-Moderate",7.43
"CA3010079",15000,4.15,22.58,1.77,"Low-Moderate",7.7
"CA3010079",16000,4.3,22.58,1.83,"Low-Moderate",7.97
"CA3010079",2000,2.24,22.58,0.95,"Low-Moderate",4.16
"CA3010079",3000,2.39,22.58,1.02,"Low-Moderate",4.43
"CA3010079",4000,2.54,22.58,1.08,"Low-Moderate",4.7
"CA3010079",5000,2.68,22.58,1.14,"Low-Moderate",4.98
"CA3010079",6000,2.83,22.58,1.2,"Low-Moderate",5.25
"CA3010079",7000,2.98,22.58,1.27,"Low-Moderate",5.52
"CA3010079",8000,3.12,22.58,1.33,"Low-Moderate",5.79
"CA3010079",9000,3.27,22.58,1.39,"Low-Moderate",6.07
"CA3010082",0,1.38,12.25,0.6,"Low",5.89
"CA3010082",1000,1.4,12.25,0.61,"Low",5.99
"CA3010082",10000,2.21,12.25,0.96,"Low",9.46
"CA3010082",11000,2.3,12.25,1,"Low",9.84
"CA3010082",12000,2.39,12.25,1.04,"Low",10.23
"CA3010082",13000,2.48,12.25,1.08,"Low",10.61
"CA3010082",14000,2.57,12.25,1.12,"Low",11
"CA3010082",15000,2.66,12.25,1.16,"Low",11.39
"CA3010082",16000,2.75,12.25,1.2,"Low",11.77
"CA3010082",2000,1.49,12.25,0.65,"Low",6.37
"CA3010082",3000,1.58,12.25,0.69,"Low",6.76
"CA3010082",4000,1.67,12.25,0.73,"Low",7.14
"CA3010082",5000,1.76,12.25,0.77,"Low",7.53
"CA3010082",6000,1.85,12.25,0.81,"Low",7.92
"CA3010082",7000,1.94,12.25,0.84,"Low",8.3
"CA3010082",8000,2.03,12.25,0.88,"Low",8.69
"CA3010082",9000,2.12,12.25,0.92,"Low",9.07
"CA3010092",0,1.12,18.34,0.37,"Low",2.3
"CA3010092",1000,1.21,18.34,0.4,"Low",2.5
"CA3010092",10000,5.31,18.34,1.75,"Low-Moderate",10.91
"CA3010092",11000,6.01,18.34,1.98,"Low-Moderate",12.35
"CA3010092",12000,6.72,18.34,2.21,"Low-Moderate",13.8
"CA3010092",13000,7.42,18.34,2.44,"Low-Moderate",15.25
"CA3010092",14000,8.12,18.34,2.67,"Low-Moderate",16.69
"CA3010092",15000,8.83,18.34,2.9,"Low-Moderate",18.14
"CA3010092",16000,9.53,18.34,3.14,"Moderate-High",19.59
"CA3010092",2000,1.32,18.34,0.43,"Low",2.71
"CA3010092",3000,1.44,18.34,0.47,"Low",2.96
"CA3010092",4000,1.71,18.34,0.56,"Low",3.52
"CA3010092",5000,1.97,18.34,0.65,"Low",4.05
"CA3010092",6000,2.4,18.34,0.79,"Low",4.92
"CA3010092",7000,3.1,18.34,1.02,"Low",6.37
"CA3010092",8000,3.9,18.34,1.28,"Low",8.01
"CA3010092",9000,4.6,18.34,1.51,"Low-Moderate",9.46
"CA3010094",0,0.76,6.01,0.43,"Low",4.09
"CA3010094",1000,0.84,6.01,0.48,"Low",4.53
"CA3010094",10000,1.62,6.01,0.93,"Low",8.72
"CA3010094",11000,1.71,6.01,0.98,"Low",9.22
"CA3010094",12000,1.81,6.01,1.03,"Low",9.72
"CA3010094",13000,1.9,6.01,1.09,"Low",10.23
"CA3010094",14000,2.02,6.01,1.16,"Low",10.89
"CA3010094",15000,2.17,6.01,1.24,"Low",11.68
"CA3010094",16000,2.32,6.01,1.33,"Low",12.48
"CA3010094",2000,0.92,6.01,0.53,"Low",4.96
"CA3010094",3000,1,6.01,0.57,"Low",5.4
"CA3010094",4000,1.08,6.01,0.62,"Low",5.83
"CA3010094",5000,1.17,6.01,0.66,"Low",6.27
"CA3010094",6000,1.25,6.01,0.71,"Low",6.7
"CA3010094",7000,1.34,6.01,0.76,"Low",7.2
"CA3010094",8000,1.43,6.01,0.82,"Low",7.71
"CA3010094",9000,1.53,6.01,0.87,"Low",8.21
"CA3010100",0,0.82,15.23,0.28,"Low",1.62
"CA3010100",1000,1,15.23,0.33,"Low",1.97
"CA3010100",10000,2.6,15.23,0.86,"Low",5.1
"CA3010100",11000,2.77,15.23,0.92,"Low",5.45
"CA3010100",12000,2.95,15.23,0.98,"Low",5.8
"CA3010100",13000,3.13,15.23,1.04,"Low",6.15
"CA3010100",14000,3.31,15.23,1.1,"Low",6.5
"CA3010100",15000,3.49,15.23,1.16,"Low",6.85
"CA3010100",16000,3.67,15.23,1.22,"Low",7.19
"CA3010100",2000,1.18,15.23,0.39,"Low",2.31
"CA3010100",3000,1.36,15.23,0.45,"Low",2.66
"CA3010100",4000,1.54,15.23,0.51,"Low",3.01
"CA3010100",5000,1.71,15.23,0.56,"Low",3.36
"CA3010100",6000,1.88,15.23,0.62,"Low",3.71
"CA3010100",7000,2.06,15.23,0.68,"Low",4.06
"CA3010100",8000,2.24,15.23,0.74,"Low",4.41
"CA3010100",9000,2.42,15.23,0.8,"Low",4.75
"CA3010101",0,1,8.93,0.49,"Low",4.02
"CA3010101",1000,1.08,8.93,0.53,"Low",4.35
"CA3010101",10000,1.88,8.93,0.92,"Low",7.56
"CA3010101",11000,1.99,8.93,0.97,"Low",8.01
"CA3010101",12000,2.1,8.93,1.03,"Low",8.47
"CA3010101",13000,2.22,8.93,1.08,"Low",8.92
"CA3010101",14000,2.33,8.93,1.14,"Low",9.38
"CA3010101",15000,2.44,8.93,1.19,"Low",9.83
"CA3010101",16000,2.55,8.93,1.25,"Low",10.28
"CA3010101",2000,1.16,8.93,0.57,"Low",4.69
"CA3010101",3000,1.25,8.93,0.61,"Low",5.02
"CA3010101",4000,1.33,8.93,0.65,"Low",5.35
"CA3010101",5000,1.41,8.93,0.69,"Low",5.69
"CA3010101",6000,1.5,8.93,0.73,"Low",6.02
"CA3010101",7000,1.58,8.93,0.77,"Low",6.36
"CA3010101",8000,1.67,8.93,0.82,"Low",6.74
"CA3010101",9000,1.77,8.93,0.86,"Low",7.11
"CA3110001",0,5.18,38.3,2.29,"High",8.08
"CA3110001",1000,5.31,38.3,2.36,"High",8.28
"CA3110001",10000,6.54,38.3,2.9,"High",10.2
"CA3110001",11000,6.69,38.3,2.96,"High",10.42
"CA3110001",12000,6.83,38.3,3.03,"High",10.65
"CA3110001",13000,6.98,38.3,3.09,"High",10.87
"CA3110001",14000,7.12,38.3,3.15,"High",11.1
"CA3110001",15000,7.26,38.3,3.22,"High",11.32
"CA3110001",16000,7.41,38.3,3.28,"High",11.55
"CA3110001",2000,5.45,38.3,2.41,"High",8.49
"CA3110001",3000,5.58,38.3,2.47,"High",8.7
"CA3110001",4000,5.72,38.3,2.54,"High",8.91
"CA3110001",5000,5.85,38.3,2.59,"High",9.12
"CA3110001",6000,5.99,38.3,2.65,"High",9.33
"CA3110001",7000,6.12,38.3,2.71,"High",9.54
"CA3110001",8000,6.26,38.3,2.77,"High",9.75
"CA3110001",9000,6.4,38.3,2.83,"High",9.97
"CA3110004",0,2.24,18.32,1,"Low",5
"CA3110004",1000,2.35,18.32,1.05,"Low",5.24
"CA3110004",10000,3.33,18.32,1.49,"Low",7.43
"CA3110004",11000,3.44,18.32,1.54,"Low",7.68
"CA3110004",12000,3.54,18.32,1.59,"Low",7.92
"CA3110004",13000,3.65,18.32,1.64,"Low",8.17
"CA3110004",14000,3.76,18.32,1.69,"Low",8.41
"CA3110004",15000,3.87,18.32,1.74,"Low",8.65
"CA3110004",16000,3.98,18.32,1.78,"Low",8.9
"CA3110004",2000,2.45,18.32,1.1,"Low",5.49
"CA3110004",3000,2.56,18.32,1.15,"Low",5.73
"CA3110004",4000,2.67,18.32,1.2,"Low",5.97
"CA3110004",5000,2.78,18.32,1.25,"Low",6.22
"CA3110004",6000,2.89,18.32,1.3,"Low",6.46
"CA3110004",7000,3,18.32,1.35,"Low",6.7
"CA3110004",8000,3.11,18.32,1.4,"Low",6.95
"CA3110004",9000,3.22,18.32,1.44,"Low",7.19
"CA3110005",0,6.56,24.84,2.81,"Moderate-High",10.69
"CA3110005",1000,6.66,24.84,2.85,"Moderate-High",10.85
"CA3110005",10000,7.59,24.84,3.25,"Moderate-High",12.37
"CA3110005",11000,7.7,24.84,3.3,"Moderate-High",12.55
"CA3110005",12000,7.82,24.84,3.35,"Moderate-High",12.74
"CA3110005",13000,7.93,24.84,3.39,"Moderate-High",12.92
"CA3110005",14000,8.04,24.84,3.44,"Moderate-High",13.1
"CA3110005",15000,8.15,24.84,3.49,"Moderate-High",13.28
"CA3110005",16000,8.27,24.84,3.54,"Moderate-High",13.47
"CA3110005",2000,6.76,24.84,2.89,"Moderate-High",11.01
"CA3110005",3000,6.86,24.84,2.93,"Moderate-High",11.17
"CA3110005",4000,6.96,24.84,2.98,"Moderate-High",11.33
"CA3110005",5000,7.05,24.84,3.02,"Moderate-High",11.49
"CA3110005",6000,7.15,24.84,3.06,"Moderate-High",11.65
"CA3110005",7000,7.25,24.84,3.1,"Moderate-High",11.82
"CA3110005",8000,7.37,24.84,3.15,"Moderate-High",12
"CA3110005",9000,7.48,24.84,3.2,"Moderate-High",12.19
"CA3110008",0,2.3,17.93,1.05,"Low",5.57
"CA3110008",1000,2.36,17.93,1.08,"Low",5.64
"CA3110008",10000,2.89,17.93,1.32,"Low",6.26
"CA3110008",11000,2.95,17.93,1.35,"Low",6.32
"CA3110008",12000,3.01,17.93,1.37,"Low",6.39
"CA3110008",13000,3.07,17.93,1.4,"Low",6.46
"CA3110008",14000,3.12,17.93,1.43,"Low",6.53
"CA3110008",15000,3.18,17.93,1.45,"Low",6.6
"CA3110008",16000,3.24,17.93,1.48,"Low",6.67
"CA3110008",2000,2.42,17.93,1.11,"Low",5.7
"CA3110008",3000,2.48,17.93,1.13,"Low",5.78
"CA3110008",4000,2.54,17.93,1.16,"Low",5.85
"CA3110008",5000,2.6,17.93,1.19,"Low",5.91
"CA3110008",6000,2.65,17.93,1.21,"Low",5.98
"CA3110008",7000,2.71,17.93,1.24,"Low",6.05
"CA3110008",8000,2.77,17.93,1.27,"Low",6.12
"CA3110008",9000,2.83,17.93,1.29,"Low",6.19
"CA3110010",0,6.19,18.4,2.08,"Low-Moderate",10.28
"CA3110010",1000,6.34,18.4,2.13,"Low-Moderate",10.52
"CA3110010",10000,7.74,18.4,2.6,"Low-Moderate",12.85
"CA3110010",11000,7.93,18.4,2.66,"Low-Moderate",13.17
"CA3110010",12000,8.12,18.4,2.72,"Low-Moderate",13.49
"CA3110010",13000,8.31,18.4,2.79,"Low-Moderate",13.81
"CA3110010",14000,8.5,18.4,2.85,"Low-Moderate",14.12
"CA3110010",15000,8.69,18.4,2.92,"Low-Moderate",14.44
"CA3110010",16000,8.88,18.4,2.98,"Low-Moderate",14.76
"CA3110010",2000,6.48,18.4,2.17,"Low-Moderate",10.77
"CA3110010",3000,6.63,18.4,2.22,"Low-Moderate",11.01
"CA3110010",4000,6.77,18.4,2.27,"Low-Moderate",11.25
"CA3110010",5000,6.92,18.4,2.32,"Low-Moderate",11.49
"CA3110010",6000,7.07,18.4,2.37,"Low-Moderate",11.74
"CA3110010",7000,7.21,18.4,2.42,"Low-Moderate",11.98
"CA3110010",8000,7.36,18.4,2.47,"Low-Moderate",12.22
"CA3110010",9000,7.55,18.4,2.53,"Low-Moderate",12.54
"CA3110023",0,2.15,19.79,1.2,"Low",5.74
"CA3110023",1000,2.23,19.79,1.24,"Low",5.95
"CA3110023",10000,2.94,19.79,1.64,"Low",7.87
"CA3110023",11000,3.03,19.79,1.69,"Low",8.09
"CA3110023",12000,3.11,19.79,1.74,"Low",8.32
"CA3110023",13000,3.2,19.79,1.79,"Low",8.54
"CA3110023",14000,3.28,19.79,1.83,"Low",8.77
"CA3110023",15000,3.37,19.79,1.88,"Low",8.99
"CA3110023",16000,3.45,19.79,1.92,"Low",9.22
"CA3110023",2000,2.31,19.79,1.29,"Low",6.16
"CA3110023",3000,2.39,19.79,1.34,"Low",6.37
"CA3110023",4000,2.46,19.79,1.38,"Low",6.58
"CA3110023",5000,2.54,19.79,1.42,"Low",6.79
"CA3110023",6000,2.62,19.79,1.46,"Low",7
"CA3110023",7000,2.7,19.79,1.51,"Low",7.21
"CA3110023",8000,2.78,19.79,1.55,"Low",7.42
"CA3110023",9000,2.86,19.79,1.6,"Low",7.64
"CA3110025",0,2.08,12.31,0.88,"Low",5.69
"CA3110025",1000,2.14,12.31,0.91,"Low",5.85
"CA3110025",10000,2.7,12.31,1.15,"Low",7.36
"CA3110025",11000,2.76,12.31,1.17,"Low",7.55
"CA3110025",12000,2.83,12.31,1.2,"Low",7.73
"CA3110025",13000,2.9,12.31,1.23,"Low",7.91
"CA3110025",14000,2.96,12.31,1.26,"Low",8.09
"CA3110025",15000,3.03,12.31,1.29,"Low",8.27
"CA3110025",16000,3.1,12.31,1.31,"Low",8.46
"CA3110025",2000,2.2,12.31,0.94,"Low",6.01
"CA3110025",3000,2.26,12.31,0.96,"Low",6.17
"CA3110025",4000,2.32,12.31,0.98,"Low",6.33
"CA3110025",5000,2.38,12.31,1.01,"Low",6.49
"CA3110025",6000,2.44,12.31,1.04,"Low",6.65
"CA3110025",7000,2.5,12.31,1.06,"Low",6.82
"CA3110025",8000,2.56,12.31,1.09,"Low",7
"CA3110025",9000,2.63,12.31,1.12,"Low",7.18
"CA3110026",0,6.22,26.16,2.84,"Moderate-High",9.37
"CA3110026",1000,6.4,26.16,2.92,"Moderate-High",9.64
"CA3110026",10000,8.27,26.16,3.78,"Moderate-High",12.68
"CA3110026",11000,8.5,26.16,3.88,"Moderate-High",13.04
"CA3110026",12000,8.72,26.16,3.98,"Moderate-High",13.4
"CA3110026",13000,8.94,26.16,4.08,"Moderate-High",13.77
"CA3110026",14000,9.17,26.16,4.18,"Moderate-High",14.12
"CA3110026",15000,9.39,26.16,4.29,"High",14.49
"CA3110026",16000,9.62,26.16,4.39,"High",14.85
"CA3110026",2000,6.58,26.16,3,"Moderate-High",9.93
"CA3110026",3000,6.75,26.16,3.08,"Moderate-High",10.2
"CA3110026",4000,6.94,26.16,3.16,"Moderate-High",10.51
"CA3110026",5000,7.15,26.16,3.27,"Moderate-High",10.87
"CA3110026",6000,7.38,26.16,3.37,"Moderate-High",11.23
"CA3110026",7000,7.6,26.16,3.47,"Moderate-High",11.59
"CA3110026",8000,7.83,26.16,3.57,"Moderate-High",11.96
"CA3110026",9000,8.05,26.16,3.67,"Moderate-High",12.32
"CA3110028",0,6.61,10.86,2.57,"Low-Moderate",12.58
"CA3110028",1000,6.77,10.86,2.63,"Low-Moderate",12.89
"CA3110028",10000,8.63,10.86,3.36,"Low-Moderate",16.44
"CA3110028",11000,8.88,10.86,3.46,"Low-Moderate",16.93
"CA3110028",12000,9.14,10.86,3.56,"Low-Moderate",17.42
"CA3110028",13000,9.41,10.86,3.66,"Moderate-High",17.92
"CA3110028",14000,9.67,10.86,3.76,"Moderate-High",18.41
"CA3110028",15000,9.93,10.86,3.86,"Moderate-High",18.9
"CA3110028",16000,10.19,10.86,3.96,"Moderate-High",19.4
"CA3110028",2000,6.93,10.86,2.69,"Low-Moderate",13.21
"CA3110028",3000,7.1,10.86,2.76,"Low-Moderate",13.52
"CA3110028",4000,7.26,10.86,2.82,"Low-Moderate",13.83
"CA3110028",5000,7.43,10.86,2.88,"Low-Moderate",14.15
"CA3110028",6000,7.59,10.86,2.96,"Low-Moderate",14.46
"CA3110028",7000,7.85,10.86,3.06,"Low-Moderate",14.95
"CA3110028",8000,8.11,10.86,3.16,"Low-Moderate",15.45
"CA3110028",9000,8.37,10.86,3.26,"Low-Moderate",15.94
"CA3110036",0,2.66,9.04,1.1,"Low",5.74
"CA3110036",1000,2.75,9.04,1.14,"Low",5.95
"CA3110036",10000,3.64,9.04,1.51,"Low",7.87
"CA3110036",11000,3.74,9.04,1.55,"Low",8.09
"CA3110036",12000,3.85,9.04,1.59,"Low",8.32
"CA3110036",13000,3.95,9.04,1.64,"Low",8.54
"CA3110036",14000,4.06,9.04,1.68,"Low",8.77
"CA3110036",15000,4.16,9.04,1.73,"Low",8.99
"CA3110036",16000,4.27,9.04,1.77,"Low",9.22
"CA3110036",2000,2.85,9.04,1.19,"Low",6.16
"CA3110036",3000,2.95,9.04,1.22,"Low",6.37
"CA3110036",4000,3.04,9.04,1.26,"Low",6.58
"CA3110036",5000,3.14,9.04,1.3,"Low",6.79
"CA3110036",6000,3.24,9.04,1.34,"Low",7
"CA3110036",7000,3.34,9.04,1.38,"Low",7.21
"CA3110036",8000,3.43,9.04,1.42,"Low",7.42
"CA3110036",9000,3.54,9.04,1.47,"Low",7.64
"CA3110041",0,3.84,21.58,1.39,"Low-Moderate",8.08
"CA3110041",1000,4.01,21.58,1.45,"Low-Moderate",8.43
"CA3110041",10000,5.52,21.58,2,"Moderate-High",11.61
"CA3110041",11000,5.69,21.58,2.06,"Moderate-High",11.96
"CA3110041",12000,5.86,21.58,2.12,"Moderate-High",12.31
"CA3110041",13000,6.02,21.58,2.18,"Moderate-High",12.67
"CA3110041",14000,6.2,21.58,2.24,"Moderate-High",13.02
"CA3110041",15000,6.36,21.58,2.3,"Moderate-High",13.37
"CA3110041",16000,6.53,21.58,2.36,"Moderate-High",13.72
"CA3110041",2000,4.18,21.58,1.51,"Low-Moderate",8.79
"CA3110041",3000,4.35,21.58,1.57,"Low-Moderate",9.14
"CA3110041",4000,4.51,21.58,1.63,"Low-Moderate",9.49
"CA3110041",5000,4.69,21.58,1.7,"Moderate-High",9.84
"CA3110041",6000,4.85,21.58,1.75,"Moderate-High",10.2
"CA3110041",7000,5.02,21.58,1.81,"Moderate-High",10.55
"CA3110041",8000,5.19,21.58,1.87,"Moderate-High",10.9
"CA3110041",9000,5.35,21.58,1.94,"Moderate-High",11.26
"CA3110051",0,3.41,10.67,1.7,"Low",11.81
"CA3110051",1000,3.47,10.67,1.73,"Low",12.02
"CA3110051",10000,4.03,10.67,2,"Low",13.94
"CA3110051",11000,4.1,10.67,2.04,"Low",14.18
"CA3110051",12000,4.17,10.67,2.08,"Low",14.42
"CA3110051",13000,4.24,10.67,2.11,"Low",14.67
"CA3110051",14000,4.31,10.67,2.14,"Low",14.91
"CA3110051",15000,4.38,10.67,2.19,"Low",15.15
"CA3110051",16000,4.46,10.67,2.22,"Low",15.42
"CA3110051",2000,3.53,10.67,1.76,"Low",12.22
"CA3110051",3000,3.59,10.67,1.79,"Low",12.42
"CA3110051",4000,3.65,10.67,1.82,"Low",12.63
"CA3110051",5000,3.71,10.67,1.85,"Low",12.83
"CA3110051",6000,3.77,10.67,1.87,"Low",13.03
"CA3110051",7000,3.83,10.67,1.91,"Low",13.24
"CA3110051",8000,3.89,10.67,1.94,"Low",13.46
"CA3110051",9000,3.96,10.67,1.97,"Low",13.7
"CA3110150",0,1.41,20.43,0.59,"Low-Moderate",4.45
"CA3110150",1000,1.58,20.43,0.66,"Low-Moderate",4.96
"CA3110150",10000,3.13,20.43,1.31,"Low-Moderate",9.85
"CA3110150",11000,3.33,20.43,1.39,"Low-Moderate",10.47
"CA3110150",12000,3.52,20.43,1.47,"Low-Moderate",11.08
"CA3110150",13000,3.72,20.43,1.56,"Low-Moderate",11.7
"CA3110150",14000,3.91,20.43,1.64,"Low-Moderate",12.32
"CA3110150",15000,4.11,20.43,1.72,"Low-Moderate",12.94
"CA3110150",16000,4.38,20.43,1.83,"Low-Moderate",13.79
"CA3110150",2000,1.74,20.43,0.73,"Low-Moderate",5.48
"CA3110150",3000,1.9,20.43,0.8,"Low-Moderate",5.99
"CA3110150",4000,2.06,20.43,0.87,"Low-Moderate",6.51
"CA3110150",5000,2.23,20.43,0.93,"Low-Moderate",7.02
"CA3110150",6000,2.39,20.43,1,"Low-Moderate",7.53
"CA3110150",7000,2.56,20.43,1.07,"Low-Moderate",8.05
"CA3110150",8000,2.74,20.43,1.14,"Low-Moderate",8.62
"CA3110150",9000,2.93,20.43,1.23,"Low-Moderate",9.23
"CA3200104",0,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",1000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",10000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",11000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",12000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",13000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",14000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",15000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",16000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",2000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",3000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",4000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",5000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",6000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",7000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",8000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200104",9000,4.79,30.11,1.73,"Moderate-High",6.27
"CA3200107",0,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",1000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",10000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",11000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",12000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",13000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",14000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",15000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",16000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",2000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",3000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",4000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",5000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",6000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",7000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",8000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3200107",9000,5.41,30.11,1.56,"Moderate-High",6.27
"CA3210003",0,6.03,30.11,2.27,"Moderate-High",7.77
"CA3210003",1000,6.25,30.11,2.36,"Moderate-High",8.07
"CA3210003",10000,8.32,30.11,3.15,"Moderate-High",10.74
"CA3210003",11000,8.56,30.11,3.23,"Moderate-High",11.04
"CA3210003",12000,8.78,30.11,3.32,"Moderate-High",11.34
"CA3210003",13000,9.02,30.11,3.4,"Moderate-High",11.63
"CA3210003",14000,9.24,30.11,3.49,"High",11.93
"CA3210003",15000,9.48,30.11,3.58,"High",12.23
"CA3210003",16000,9.7,30.11,3.66,"High",12.52
