"GEOID","pwsid","totalhh","perArea","medianIncome","income20","HBI","PPI","burden","TRAD"
"410510035013","OR4100657",380,100,100200,39029,10.2,22.8,"High",4
"410510035014","OR4100657",339,100,36632,16843,23.5,22.8,"High",10.8
"410510035021","OR4100657",590,100,73611,43312,9.1,20.7,"Moderate-High",5.4
"410510035022","OR4100657",538,100,108088,47259,8.4,20.7,"Moderate-High",3.7
"410510036011","OR4100657",289,100,88750,54631,7.2,26.6,"Moderate-High",4.5
"410510036012","OR4100657",694,100,66313,25325,15.6,26.6,"High",6
"410510036013","OR4100657",558,100,66402,9086,43.6,26.6,"High",6
"410510036014","OR4100657",511,100,82161,61653,6.4,26.6,"Moderate-High",4.8
"410510036021","OR4100657",536,100,104000,59630,6.6,12.1,"Low-Moderate",3.8
"410510036022","OR4100657",733,100,130750,54219,7.3,12.1,"Low-Moderate",3
"410510036023","OR4100657",635,100,95893,43271,9.2,12.1,"Low-Moderate",4.1
"410510036024","OR4100657",574,100,96076,22538,17.6,12.1,"Moderate-High",4.1
"410510036031","OR4100657",305,100,62596,25017,15.8,22.7,"High",6.3
"410510036032","OR4100657",370,100,96250,30856,12.8,22.7,"High",4.1
"410510037011","OR4100657",477,100,59403,27994,14.2,29.2,"High",6.7
"410510037012","OR4100657",562,100,46667,11972,33.1,29.2,"High",8.5
"410510037013","OR4100657",610,100,62500,19368,20.4,29.2,"High",6.3
"410510037014","OR4100657",307,100,101932,35925,11,29.2,"High",3.9
"410510037021","OR4100657",286,100,119000,66540,6,20.7,"Moderate-High",3.3
"410510037022","OR4100657",256,100,104500,46225,8.6,20.7,"Moderate-High",3.8
"410510037023","OR4100657",485,100,57188,11619,34.1,20.7,"High",6.9
"410510038011","OR4100657",560,100,59861,29979,13.2,24.4,"High",6.6
"410510038012","OR4100657",232,100,80313,41740,9.5,24.4,"High",4.9
"410510038013","OR4100657",609,100,85708,38989,10.2,24.4,"High",4.6
"410510038021","OR4100657",582,100,83846,31549,12.6,22.6,"High",4.7
"410510038022","OR4100657",386,100,79392,52853,7.5,22.6,"Moderate-High",5
"410510038023","OR4100657",416,100,88182,48856,8.1,22.6,"Moderate-High",4.5
"410510038031","OR4100657",558,100,91304,54732,7.2,27.7,"Moderate-High",4.3
"410510038032","OR4100657",764,100,65476,31251,12.7,27.7,"High",6
"410510038033","OR4100657",558,100,62273,28196,14,27.7,"High",6.4
"410510039011","OR4100657",517,100,93401,57530,6.9,27.2,"Moderate-High",4.2
"410510039012","OR4100657",509,100,86465,19726,20.1,27.2,"High",4.6
"410510039013","OR4100657",628,100,74875,56358,7,27.2,"Moderate-High",5.3
"410510039014","OR4100657",547,100,74011,39638,10,27.2,"High",5.3
"410510039015","OR4100657",647,100,83467,34021,11.6,27.2,"High",4.7
"410510039021","OR4100657",256,100,128333,44899,8.8,18.9,"Low-Moderate",3.1
"410510039022","OR4100657",394,100,91111,24808,16,18.9,"Moderate-High",4.3
"410510039023","OR4100657",341,100,89427,58878,6.7,18.9,"Low-Moderate",4.4
"410510039024","OR4100657",365,100,109875,75800,5.2,18.9,"Low-Moderate",3.6
"410510040011","OR4100657",910,100,26048,16150,24.5,54.4,"Very High",15.2
"410510040012","OR4100657",415,100,79792,14618,27.1,54.4,"Very High",5
"410510040013","OR4100657",535,100,44594,31173,12.7,54.4,"Very High",8.9
"410510040014","OR4100657",893,100,65841,35628,11.1,54.4,"Very High",6
"410510040021","OR4100657",372,100,99079,44231,8.9,22.7,"Moderate-High",4
"410510040022","OR4100657",361,100,79792,50718,7.8,22.7,"Moderate-High",5
"410510040023","OR4100657",572,100,83214,45908,8.6,22.7,"Moderate-High",4.8
"410510040024","OR4100657",417,100,63958,29445,13.4,22.7,"High",6.2
"410510041011","OR4100657",314,100,72037,42442,9.3,32.7,"High",5.5
"410510041012","OR4100657",576,100,70521,51922,7.6,32.7,"Moderate-High",5.6
"410510041013","OR4100657",1263,100,70162,22783,17.4,32.7,"High",5.6
"410510041014","OR4100657",746,100,42401,29838,13.3,32.7,"High",9.3
"410510041021","OR4100657",564,100,67696,33286,11.9,26.5,"High",5.8
"410510041022","OR4100657",379,100,101490,37886,10.4,26.5,"High",3.9
"410510041023","OR4100657",518,100,79732,43069,9.2,26.5,"Moderate-High",5
"410510041024","OR4100657",605,100,71680,38551,10.3,26.5,"High",5.5
"410510042001","OR4100657",653,100,87462,41342,9.6,24.7,"High",4.5
"410510042002","OR4100657",1263,100,54229,25936,15.3,24.7,"High",7.3
"410510043001","OR4100657",443,96.91,98750,27436,14.4,19.9,"Moderate-High",4
"410510045001","OR4100657",1429,100,91250,41526,9.5,12.6,"Moderate-High",4.3
"410510046011","OR4100657",849,100,188750,63618,6.2,7.2,"Low-Moderate",2.1
"410510046012","OR4100657",682,100,140469,45989,8.6,7.2,"Low-Moderate",2.8
"410510046021","OR4100657",487,100,146875,56717,7,9.7,"Low-Moderate",2.7
"410510046022","OR4100657",404,100,214583,107963,3.7,9.7,"Low",1.9
"410510047001","OR4100657",793,100,146583,54624,7.2,16.2,"Low-Moderate",2.7
"410510047002","OR4100657",753,100,57878,25120,15.8,16.2,"Moderate-High",6.8
"410510047003","OR4100657",1039,100,45055,20883,19,16.2,"Moderate-High",8.8
"410510048001","OR4100657",730,100,66607,27465,14.4,35.8,"Very High",6
"410510048002","OR4100657",737,100,28529,10278,38.5,35.8,"Very High",13.9
"410510048003","OR4100657",587,100,56948,26499,14.9,35.8,"Very High",7
"410510049001","OR4100657",1449,100,77837,24258,16.3,32.6,"High",5.1
"410510049002","OR4100657",870,100,34688,12497,31.7,32.6,"High",11.4
"410510049003","OR4100657",940,100,58571,25704,15.4,32.6,"High",6.8
"410510050001","OR4100657",2508,100,108571,46066,8.6,13.8,"Low-Moderate",3.6
"410510051001","OR4100657",3410,100,82244,20240,19.6,36.1,"Very High",4.8
"410510051002","OR4100657",1874,100,27000,10487,37.8,36.1,"Very High",14.7
"410510051003","OR4100657",890,100,27310,15918,24.9,36.1,"Very High",14.5
"410510052001","OR4100657",589,100,21354,5800,68.3,37.4,"Very High",18.5
"410510052002","OR4100657",604,100,18672,5192,76.3,37.4,"Very High",21.2
"410510052003","OR4100657",794,100,66625,27758,14.3,37.4,"Very High",5.9
"410510052004","OR4100657",1092,100,75789,29263,13.5,37.4,"Very High",5.2
"410510055001","OR4100657",874,100,18929,10272,38.5,63.4,"Very High",20.9
"410510055002","OR4100657",758,100,13160,4611,85.9,63.4,"Very High",30.1
"410510056001","OR4100657",1121,100,28879,11317,35,36.8,"Very High",13.7
"410510056002","OR4100657",429,100,53347,6556,60.4,36.8,"Very High",7.4
"410510056003","OR4100657",520,100,30536,6779,58.4,36.8,"Very High",13
"410510056004","OR4100657",744,100,82500,20740,19.1,36.8,"Very High",4.8
"410510057001","OR4100657",605,100,67868,32503,12.2,26.5,"High",5.8
"410510057002","OR4100657",1240,100,66190,27959,14.2,26.5,"High",6
"410510057003","OR4100657",607,100,92383,52558,7.5,26.5,"Moderate-High",4.3
"410510058001","OR4100657",505,100,121696,9535,41.5,16.5,"Moderate-High",3.2
"410510058002","OR4100657",620,100,61765,21250,18.6,16.5,"Moderate-High",6.4
"410510058003","OR4100657",367,100,68935,32162,12.3,16.5,"Moderate-High",5.7
"410510058004","OR4100657",480,100,220357,108802,3.6,16.5,"Low",1.8
"410510058005","OR4100657",401,100,220750,92484,4.3,16.5,"Low",1.8
"410510059001","OR4100657",3202,100,97361,33686,11.8,22.3,"High",4.1
"410510059002","OR4100657",505,100,79554,29399,13.5,22.3,"High",5
"410510059003","OR4100657",611,100,110967,65372,6.1,22.3,"Moderate-High",3.6
"410510059004","OR4100657",912,100,61389,32242,12.3,22.3,"High",6.4
"410510060011","OR4100657",446,100,81023,34193,11.6,15.2,"Moderate-High",4.9
"410510060012","OR4100657",279,100,170750,87917,4.5,15.2,"Low",2.3
"410510060021","OR4100657",954,100,111818,51822,7.6,6.8,"Low-Moderate",3.5
"410510061001","OR4100657",523,100,183125,73559,5.4,21,"Moderate-High",2.2
"410510061002","OR4100657",519,100,60288,16778,23.6,21,"High",6.6
"410510062001","OR4100657",469,100,132578,73103,5.4,11.1,"Low-Moderate",3
"410510062002","OR4100657",352,100,119423,58177,6.8,11.1,"Low-Moderate",3.3
"410510062003","OR4100657",452,100,99239,58412,6.8,11.1,"Low-Moderate",4
"410510063001","OR4100657",607,63.56,133869,51444,7.7,11.9,"Low-Moderate",3
"410510063002","OR4100657",444,53.9,179063,81036,4.9,11.9,"Low-Moderate",2.2
"410510063003","OR4100657",659,100,112232,47157,8.4,11.9,"Low-Moderate",3.5
"410510064021","OR4100657",1132,100,134900,70803,5.6,5.9,"Low-Moderate",2.9
"410510064022","OR4100657",1003,77,155905,68293,5.8,5.9,"Low-Moderate",2.5
"410510064031","OR4100657",389,100,113906,63172,6.3,24.9,"Moderate-High",3.5
"410510064032","OR4100657",948,100,61250,26299,15.1,24.9,"High",6.5
"410510064033","OR4100657",437,100,51298,17337,22.8,24.9,"High",7.7
"410510064041","OR4100657",858,26.69,82143,40905,9.7,15.2,"Moderate-High",4.8
"410510064042","OR4100657",938,84.97,89868,39039,10.1,15.2,"Moderate-High",4.4
"410510065011","OR4100657",942,100,105795,62929,6.3,8.1,"Low-Moderate",3.7
"410510065012","OR4100657",855,100,91417,33270,11.9,8.1,"Moderate-High",4.3
"410510065013","OR4100657",640,100,150000,94694,4.2,8.1,"Low",2.6
"410510065021","OR4100657",1202,100,64939,19829,20,24.4,"High",6.1
"410510065022","OR4100657",897,100,94699,37022,10.7,24.4,"High",4.2
"410510066011","OR4100657",669,100,104940,40623,9.8,6.3,"Moderate-High",3.8
"410510066012","OR4100657",426,100,133750,67783,5.8,6.3,"Low-Moderate",3
"410510066021","OR4100657",445,100,62847,30603,12.9,32.1,"High",6.3
"410510066022","OR4100657",1293,100,70023,29698,13.3,32.1,"High",5.7
"410510066023","OR4100657",777,100,90809,32149,12.3,32.1,"High",4.4
"410510067011","OR4100657",696,100,128906,68157,5.8,13.1,"Low-Moderate",3.1
"410510067012","OR4100657",621,100,82014,40204,9.8,13.1,"Moderate-High",4.8
"410510067021","OR4100657",914,100,73750,34538,11.5,22.9,"High",5.4
"410510067022","OR4100657",503,100,96838,44101,9,22.9,"Moderate-High",4.1
"410510068011","OR4100657",1085,66.15,73750,24556,16.1,22.9,"High",5.4
"410510068021","OR4100657",598,92.26,198947,104306,3.8,12.5,"Low",2
"410510068022","OR4100657",850,100,85469,27579,14.4,12.5,"Moderate-High",4.6
"410510069001","OR4100657",636,75.05,161094,71507,5.5,6.3,"Low-Moderate",2.5
"410510069002","OR4100657",498,45.26,196250,117174,3.4,6.3,"Low",2
